Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Rough Solution,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,Addition,91.0,91.0,91.0,91.0,Danny collects bottle caps. He lost var_A bottle caps at the park. Now he has var_B bottle caps in his collection. How many bottle caps did danny have at first?,"To find the initial number of bottle caps Danny had, we need to add the number of bottle caps he lost to the number he has now.

1. Start with the number of bottle caps Danny has now: 25
2. Add the number of bottle caps he lost: 25 + 66 = 91

So, Danny had 91 bottle caps at first.",var_A + var_B,"def solution(var_A, var_B):
    return var_A + var_B","{'var_A': 66.0, 'var_B': 25.0}",False,
Faye was placing her pencils into rows with 22 pencils in each row. She had 6 packs of pencils each one having 14 pencils. How many pencils does she have?,Multiplication,84.0,7056.0,,7056.0,Faye was placing her pencils into rows with var_A pencils in each row. She had var_B packs of pencils each one having var_C pencils. How many pencils does she have?,"To find the total number of pencils Faye has, we need to multiply the number of packs by the number of pencils in each pack and then multiply by the number of rows.

1. Multiply the number of packs by the number of pencils in each pack: 
6 packs * 14 pencils/pack = 84 pencils

2. Multiply the result by the number of rows:
84 pencils * 22 rows = 1848 pencils",6 * 14 * 22 = 1552,"def solution(var_A, var_B, var_C):
    return 84 * var_B * var_C","{'var_A': 22.0, 'var_B': 6.0, 'var_C': 14.0}",False,
Danny collects bottle caps and wrappers. He found 65 wrappers and 5 bottle caps at the park. Now he has 31 bottle caps and 9 wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,Subtraction,60.0,-56.0,-56.0,-56.0,Danny collects bottle caps and wrappers. He found var_A wrappers and var_B bottle caps at the park. Now he has var_C bottle caps and var_D wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,"To find the difference between the number of wrappers and bottle caps found by Danny, we need to follow these steps:

1. Calculate the difference between the number of wrappers and bottle caps found by Danny: 
   31 (bottle caps) - 5 (bottle caps) = 26

2. Since the difference is positive, it means Danny found more wrappers than bottle caps.",var_D - var_A,"def solution(var_A, var_B, var_C, var_D):
    return var_D - var_A","{'var_A': 65.0, 'var_B': 5.0, 'var_C': 31.0, 'var_D': 9.0}",False,
The ring toss game at the carnival made 144 dollars per day. They were at the carnival for 22 days. How much money did they make?,Multiplication,3168.0,,3456,3600.0,The ring toss game at the carnival made var_A dollars per day. They were at the carnival for var_B days. How much money did they make?,"Here are the rough steps to solve the problem:

1. Calculate the total amount of money made by multiplying the daily earnings by the number of days:
   144 dollars/day * 22 days =?

2. Add the daily earnings to the total amount:
   144 dollars/day + 144 dollars/day =?

3. Multiply the daily earnings by the number of days:
   144 dollars/day * 22 days =?

4. Add the total amount to the daily earnings:
   144 dollars/day + 144 dollars/day =?

5. Calculate the total amount:
   144 dollars/day + 144 dollars/day = 288 dollars",144 * 22 + 144 + 144,"def solution(var_A, var_B):
    total = var_A * var_B
    daily_earnings = var_A
    total += daily_earnings
    daily_earnings += var_A
    total += daily_earnings
    return total","{'var_A': 144.0, 'var_B': 22.0}",True,'Code_Result'
The school is planning a field trip. The school has 72 classrooms. There are 3 seats on each school bus. If there are a total of 111 students in the school How many buses are needed to take the trip?,Common-Division,37.0,24.0,,24.0,The school is planning a field trip. The school has var_A classrooms. There are var_B seats on each school bus. If there are a total of var_C students in the school How many buses are needed to take the trip?,"To find the number of buses needed, we need to divide the total number of students by the number of seats on each bus.

1. Divide the total number of students (111) by the number of seats on each bus (3).
2. The result will be the number of buses needed.

Let's do the math:
111 ÷ 3 = 37",var_C = 37,"def solution(var_A, var_B, var_C):
    return var_A // var_B","{'var_A': 72.0, 'var_B': 3.0, 'var_C': 111.0}",False,
Winter is almost here and most animals are migrating to warmer countries. There are 3 bird families living near the mountain. 26 new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. How many bird families were left near the mountain?,Addition,27.0,-21.0,,-21.0,Winter is almost here and most animals are migrating to warmer countries. There are var_A bird families living near the mountain. var_B new bird families came to live near the mountain from the arctic while var_C bird families flew away further south for winter. How many bird families were left near the mountain?,"To solve this problem, we can use the concept of subtraction. 

1. Let's start by identifying the number of bird families that came to live near the mountain: 26
2. We know that 2 bird families flew away, so we need to subtract them from the total number of bird families that came: 
26 - 2 = 24

So, there are 24 bird families left near the mountain.","var_A = 26
var_B = 2
result = var_A - var_B","def solution(var_A, var_B, var_C):
    return var_A - var_B + var_C","{'var_A': 3.0, 'var_B': 26.0, 'var_C': 2.0}",False,
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,Addition,450.0,720.0,720.0,720.0,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked var_A cookies yesterday var_B cookies this morning and var_C cookies the day before yesterday. How many cookies did Helen bake till last night?,"To find the total number of cookies Helen baked till last night, we need to add the number of cookies she baked yesterday, this morning, and the day before yesterday.

Here are the steps:

1. Add the number of cookies baked yesterday (31) to the number of cookies baked this morning (270):
31 + 270 = 301
2. Add the number of cookies baked the day before yesterday (419) to the total:
301 + 419 = 720

So, Helen baked 720 cookies till last night.",var_A + var_B + var_C,"def solution(var_A, var_B, var_C):
    return var_A + var_B + var_C","{'var_A': 31.0, 'var_B': 270.0, 'var_C': 419.0}",False,
"7 red peaches, 15 yellow peaches and 8 green peaches are in the basket. How many peaches are in the basket?",Addition,30.0,30.0,30.0,30.0,"var_A red peaches, var_B yellow peaches and var_C green peaches are in the basket. How many peaches are in the basket?","To find the total number of peaches in the basket, we can use the following steps:

1. Add the number of red peaches to the number of yellow peaches: 7 + 15 = 22
2. Add the number of green peaches to the result from step 1: 22 + 8 = 30

So, there are 30 peaches in the basket.",var_A + var_B + var_C,"def solution(var_A, var_B, var_C):
    return var_A + var_B + var_C","{'var_A': 7.0, 'var_B': 15.0, 'var_C': 8.0}",False,
Paul got a box of some crayons for his birthday. By the end of the school year he had either lost or given away 551 of them and only had 177 left. How many crayons did he get for his birthday?,Addition,728.0,,728,177.0,Paul got a box of some crayons for his birthday. By the end of the school year he had either lost or given away var_A of them and only had var_B left. How many crayons did he get for his birthday?,"To solve this problem, we can use the concept of ""initial amount"" and ""change"". 

Let's assume Paul initially had x crayons.

We know that Paul lost or gave away 551 crayons, so the number of crayons he has left is x - 551.

We also know that Paul has 177 crayons left.

We can set up an equation to represent the situation:

x - 551 = 177

To solve for x, we can add 551 to both sides of the equation:

x = 177 + 551
x = 728

So, Paul initially had 728 crayons.",728,"def solution(var_A, var_B):
    return var_A + var_B - 551","{'var_A': 551.0, 'var_B': 177.0}",True,'Code_Result'
A grocery store had 22 bottles of regular soda and 61 bottles of diet soda. How many more bottles of diet soda than regular soda did they have?,Subtraction,39.0,39.0,,39.0,A grocery store had var_A bottles of regular soda and var_B bottles of diet soda. How many more bottles of diet soda than regular soda did they have?,"To find the difference in the number of bottles of diet soda and regular soda, we need to subtract the number of regular soda from the number of diet soda.

1. Start with the given information: 
   - Number of regular soda = 22
   - Number of diet soda = 61

2. Subtract the number of regular soda from the number of diet soda:
   - Difference = Number of diet soda - Number of regular soda
   - Difference = 61 - 22
   - Difference = 39

So, the grocery store had 39 more bottles of diet soda than regular soda.","var_B = 61
var_A = 22
print(var_B - var_A)","def solution(var_A, var_B):
    return var_B - var_A","{'var_A': 22.0, 'var_B': 61.0}",False,
