Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Rough Solution,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
A patient's blood pressure reduces from 140/90 to 120/80 mmHg. What is the percentage reduction in systolic pressure?,Cardiovascular Medicine,14.3,3.5714285714285725,3.5714285714285725,3.5714285714285725,A patient's blood pressure reduces from var_A / var_B to var_C / var_D mmHg. What is the percentage reduction in systolic pressure?,"1. Subtract the final systolic pressure from the initial systolic pressure to find the change in systolic pressure.
2. Divide the change in systolic pressure by the initial systolic pressure to find the fraction of reduction.
3. Multiply the fraction of reduction by 100 to convert it to a percentage.",((var_A / var_B - var_C / var_D) / (var_A / var_B)) * 100,"def solution(var_A, var_B, var_C, var_D):
    initial_pressure = var_A / var_B
    final_pressure = var_C / var_D
    change = initial_pressure - final_pressure
    reduction_fraction = change / initial_pressure
    percentage_reduction = reduction_fraction * 100
    return percentage_reduction","{'var_A': 140.0, 'var_B': 90.0, 'var_C': 120.0, 'var_D': 80.0}",False,
"The gravitational field strength on Earth's surface is approximately 9.8 N/kg. For a mass of 5 kg, What is the weight in Newtons?",Weight Calculation,49.0,49.0,49.0,49.0,"The gravitational field strength on Earth's surface is approximately var_A N / kg. For a mass of var_B kg, What is the weight in Newtons?","1. Use the formula for weight, which is the product of mass and gravitational field strength.
2. Multiply the mass by the gravitational field strength to find the weight in Newtons.",var_A * var_B,"def solution(var_A, var_B):
    return var_A * var_B","{'var_A': 9.8, 'var_B': 5.0}",False,
"An item costs $50, but a discount of 10% is applied. What is the price after discount?",Percentage,45.0,45.0,45.0,45.0,An item costs $ var_A but a discount of var_B % is applied. What is the price after discount?,"1. Calculate the amount of the discount by multiplying the original price by the discount percentage.
2. Subtract the discount amount from the original price to find the price after the discount.",var_A - (var_A * (var_B / 100)),"def solution(var_A, var_B):
    discount_amount = var_A * (var_B / 100)
    return var_A - discount_amount","{'var_A': 50.0, 'var_B': 10.0}",False,
"The efficiency of a heat engine is 30%. If it does 300 J of work, How much heat does it absorb from the hot reservoir?",Heat Engine Efficiency,1000.0,1000.0,1000.0,1000.0,"The efficiency of a heat engine is var_A %. If it does var_B J of work, How much heat does it absorb from the hot reservoir?","1. Use the formula for efficiency, which is the ratio of work output to heat absorbed.
2. Rearrange the efficiency formula to solve for the heat absorbed from the hot reservoir.
3. Substitute the known values into the rearranged formula to calculate the heat absorbed.",var_B / (var_A / 100),"def solution(var_A, var_B):
    efficiency = var_A / 100
    heat_absorbed = var_B / efficiency
    return heat_absorbed","{'var_A': 30.0, 'var_B': 300.0}",False,
"The atomic mass of carbon is 12 amu. In a sample of 24 grams of carbon, How many moles are present?",Mole Calculation,2.0,2.0,2.0,2.0,"The atomic mass of carbon is var_A amu. In a sample of var_B grams of carbon, How many moles are present?","1. Use the formula for calculating moles, which is the mass of the substance divided by its molar mass.
2. Divide the mass of the carbon sample by the atomic mass of carbon to find the number of moles present.",var_B / var_A,"def solution(var_A, var_B):
    return var_B / var_A","{'var_A': 12.0, 'var_B': 24.0}",False,
The pH of a solution is 9. What is the pOH of the solution?,pH and pOH,5.0,5.0,5.0,5.0,The pH of a solution is var_A What is the pOH of the solution?,"1. Use the relationship between pH and pOH, which states that pH + pOH = 14.
2. Subtract the given pH from 14 to find the pOH of the solution.",14 - var_A,"def solution(var_A):
    return 14 - var_A",{'var_A': 9.0},False,
"A pendulum has a period of 2 seconds. On a planet where g = 1.62 m/s², What is the length of the pendulum in meters?",Pendulum Motion,0.26,0.16414059478772852,0.16414059478772852,0.16414059478772852,"A pendulum has a period of var_A seconds. On a planet where g = var_B m / s², What is the length of the pendulum in meters?","1. Use the formula for the period of a pendulum, which relates the period to the length and acceleration due to gravity.
2. Rearrange the formula to solve for the length of the pendulum.
3. Substitute the given period and the value of g for the planet into the rearranged formula to calculate the length.",(var_A**2 * var_B) / (4 * 3.14159**2),"def solution(var_A, var_B):
    return (var_A**2 * var_B) / (4 * 3.14159**2)","{'var_A': 2.0, 'var_B': 1.62}",False,
A car travels at 60 km/h for 2 hours. What distance does it cover in meters?,Distance Calculation,120000.0,120000.0,120000.0,120000.0,A car travels at var_A km / h for var_B hours. What distance does it cover in meters?,"1. Calculate the distance traveled by multiplying the speed of the car by the time traveled.
2. Convert the distance from kilometers to meters by using the conversion factor (1 km = 1000 meters).",var_A * var_B * 1000,"def solution(var_A, var_B):
    distance_km = var_A * var_B
    distance_m = distance_km * 1000
    return distance_m","{'var_A': 60.0, 'var_B': 2.0}",False,
A thermal expansion coefficient is 2e-5 K⁻¹ for a metal rod. How much does a 1-meter rod expand when heated from 20°C to 120°C?,Material Science,0.002,,200.0,0.002,A thermal expansion coefficient is var_A e - var_B K⁻¹ for a metal rod. How much does a var_C - meter rod expand when heated from var_D °C to var_E °C?,"1. Calculate the change in temperature by subtracting the initial temperature from the final temperature.
2. Use the formula for linear expansion, which involves multiplying the thermal expansion coefficient by the change in temperature and the original length of the rod.
3. Multiply the result from step 2 by the original length of the rod to find the amount of expansion.",var_A * (var_E - var_D) * var_C,"def solution(var_A, var_B, var_C, var_D, var_E):
    delta_T = var_E - var_D
    expansion = var_A * (10 ** -var_B) * delta_T * var_C
    return expansion","{'var_A': 2.0, 'var_B': 5.0, 'var_C': 1.0, 'var_D': 20.0, 'var_E': 120.0}",True,'Code_Result'
"The speed of sound in air is 343 m/s. If an echo returns after 2 seconds, How far away is the reflecting surface?",Wave Motion,343.0,343.0,343.0,343.0,"The speed of sound in air is var_A m / s. If an echo returns after var_B seconds, How far away is the reflecting surface?","1. Recognize that the time taken for the echo to return includes the time for the sound to travel to the reflecting surface and back.
2. Divide the total time by 2 to find the time taken to reach the reflecting surface.
3. Multiply the time taken to reach the reflecting surface by the speed of sound to find the distance to the reflecting surface.",(var_A * var_B) / 2,"def solution(var_A, var_B):
    return (var_A * (var_B / 2))","{'var_A': 343.0, 'var_B': 2.0}",False,
