Question,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
" A florist had 6 roses. If she sold 5 of them and then later picked 12 more, how many roses would she have? ",13,,,,"A florist had var_A roses. If she sold var_B of them and then later picked var_C more, how many roses would she have?",var_A - var_B + var_C,"```python
var_A = 10  # Example value for initial roses
var_B = 3   # Example value for sold roses
var_C = 5   # Example value for picked roses

total_roses = var_A - var_B + var_C
print(total_roses)
```","{'var_A': 6.0, 'var_B': 5.0, 'var_C': 12.0}",True,"must be real number, not NoneType"
" A painter needed to paint 12 rooms in a building. Each room takes 7 hours to paint. If he already painted 5 rooms, how much longer will he take to paint the rest? ",49,,,,"A painter needed to paint var_A rooms in a building. Each room takes var_B hours to paint. If he already painted var_C rooms, how much longer will he take to paint the rest?",(var_A - var_C) * var_B,"```python
def time_to_paint_remaining_rooms(var_A, var_B, var_C):
    remaining_rooms = var_A - var_C
    time_needed = remaining_rooms * var_B
    return time_needed
```","{'var_A': 12.0, 'var_B': 7.0, 'var_C': 5.0}",True,"must be real number, not NoneType"
" Chloe baked 7 brownies, but needed 16 total for her party. If she used 6 cups of flour on each one, how much cups of flour does she still need? ",54,,,,"Chloe baked var_A brownies, but needed var_B total for her party. If she used var_C cups of flour on each one, how much cups of flour does she still need?",var_B - (var_A * var_C),"```python
var_A = 10  # number of brownies baked
var_B = 20  # total brownies needed
var_C = 2   # cups of flour used per brownie

total_flour_needed = var_B * var_C
flour_used = var_A * var_C
flour_still_needed = total_flour_needed - flour_used
```","{'var_A': 7.0, 'var_B': 16.0, 'var_C': 6.0}",True,"must be real number, not NoneType"
" George had 28 socks. If he threw away 4 old ones that didn't fit and bought 36 new ones, how many socks would he have? ",60,,,,"George had var_A socks. If he threw away var_B old ones that didn't fit and bought var_C new ones, how many socks would he have?",var_A - var_B + var_C,"```python
def calculate_socks(var_A, var_B, var_C):
    return var_A - var_B + var_C
```","{'var_A': 28.0, 'var_B': 4.0, 'var_C': 36.0}",True,"must be real number, not NoneType"
" There school's baseball team had 31 new players and 4 returning players. If the coach put them into groups with 7 players in each group, how many groups would there be? ",5,,,,"There school's baseball team had var_A new players and var_B returning players. If the coach put them into groups with var_C players in each group, how many groups would there be?",(var_A + var_B) / var_C,"```python
var_A = 10  # number of new players
var_B = 5   # number of returning players
var_C = 3   # number of players in each group

total_players = var_A + var_B
number_of_groups = total_players // var_C
```","{'var_A': 31.0, 'var_B': 4.0, 'var_C': 7.0}",True,"must be real number, not NoneType"
" At the fair Adam bought 10 tickets. After riding the ferris wheel he had 3 tickets left. If each ticket cost 9 dollars, how much money did Adam spend riding the ferris wheel? ",63,,,,"At the fair Adam bought var_A tickets. After riding the ferris wheel he had var_B tickets left. If each ticket cost var_C dollars, how much money did Adam spend riding the ferris wheel?",(var_A - var_B) * var_C,"```python
money_spent = (var_A - var_B) * var_C
```","{'var_A': 10.0, 'var_B': 3.0, 'var_C': 9.0}",True,"must be real number, not NoneType"
 Sarah's old washing machine could only wash 5 pieces of clothing at a time. If she had to wash 43 shirts and 2 sweaters how many loads would she have to do? ,9,,,,Sarah's old washing machine could only wash var_A pieces of clothing at a time. If she had to wash var_B shirts and var_C sweaters how many loads would she have to do?,\(\frac{var_B + var_C}{var_A}\),"```python
import math

var_A = 5  # capacity of the washing machine
var_B = 10  # number of shirts
var_C = 8   # number of sweaters

total_clothing = var_B + var_C
loads_needed = math.ceil(total_clothing / var_A)

print(loads_needed)
```","{'var_A': 5.0, 'var_B': 43.0, 'var_C': 2.0}",True,"must be real number, not NoneType"
" Mike made 42 dollars mowing lawns over the summer. If he spent 10 dollars buying new mower blades, how many 8 dollar games could he buy with the money he had left? ",4,,,,"Mike made var_A dollars mowing lawns over the summer. If he spent var_B dollars buying new mower blades, how many var_C dollar games could he buy with the money he had left?",( var_A - var_B ) / var_C,"```python
var_A = 100  # Example value for money made
var_B = 30   # Example value for money spent
var_C = 10   # Example value for cost of each game

money_left = var_A - var_B
games_affordable = money_left // var_C
```","{'var_A': 42.0, 'var_B': 10.0, 'var_C': 8.0}",True,"must be real number, not NoneType"
" At a restaurant each adult meal costs $2 and kids eat free. If a group of 9 people came in and 2 were kids, how much would it cost for the group to eat? ",14,,,,"At a restaurant each adult meal costs $ var_A and kids eat free. If a group of var_B people came in and var_C were kids, how much would it cost for the group to eat?",(var_B - var_C) * var_A,"```python
var_A = 20  # cost of adult meal
var_B = 10  # total number of people
var_C = 3   # number of kids

num_adults = var_B - var_C
total_cost = num_adults * var_A
```","{'var_A': 2.0, 'var_B': 9.0, 'var_C': 2.0}",True,"must be real number, not NoneType"
 Emily was planting vegetables in her garden. She started with 41 seeds and planted 29 of them in the big garden and in each of her small gardens put 4 seeds each. How many small gardens did Emily have? ,3,,,,Emily was planting vegetables in her garden. She started with var_A seeds and planted var_B of them in the big garden and in each of her small gardens put var_C seeds each. How many small gardens did Emily have?,(var_A - var_B) / var_C,"```python
var_A = 100  # total seeds
var_B = 30   # seeds in big garden
var_C = 5    # seeds in each small garden

small_gardens = (var_A - var_B) // var_C
print(small_gardens)
```","{'var_A': 41.0, 'var_B': 29.0, 'var_C': 4.0}",True,"must be real number, not NoneType"
