Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Rough Solution,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,Addition,91.0,91,91.0,91.0,Danny collects bottle caps. He lost var_A bottle caps at the park. Now he has var_B bottle caps in his collection. How many bottle caps did danny have at first?,"1. Start with the number of bottle caps Danny has now (25).
2. Add the number of bottle caps he lost (66) to the current amount to find out how many he had initially.",var_A + var_B,"def solution(var_A, var_B):
    return var_A + var_B","{'var_A': 66.0, 'var_B': 25.0}",False,
Faye was placing her pencils into rows with 22 pencils in each row. She had 6 packs of pencils each one having 14 pencils. How many pencils does she have?,Multiplication,84.0,84,84.0,84.0,Faye was placing her pencils into rows with var_A pencils in each row. She had var_B packs of pencils each one having var_C pencils. How many pencils does she have?,"1. Multiply the number of packs by the number of pencils in each pack to find the total number of pencils Faye has.
2. There is no need to divide or arrange the pencils into rows for this part of the problem, as the question only asks for the total number of pencils.",var_B * var_C,"def solution(var_A, var_B, var_C):
    return var_B * var_C","{'var_A': 22.0, 'var_B': 6.0, 'var_C': 14.0}",False,
Danny collects bottle caps and wrappers. He found 65 wrappers and 5 bottle caps at the park. Now he has 31 bottle caps and 9 wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,Subtraction,60.0,60,60.0,60.0,Danny collects bottle caps and wrappers. He found var_A wrappers and var_B bottle caps at the park. Now he has var_C bottle caps and var_D wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,"1. Identify the total number of wrappers Danny found at the park, which is given as 65.
2. Identify the total number of bottle caps Danny found at the park, which is given as 5.
3. Calculate the difference between the number of wrappers and bottle caps found at the park by subtracting the number of bottle caps from the number of wrappers.",var_A - var_B,"def solution(var_A, var_B, var_C, var_D):
    total_wrappers_found = var_A
    total_bottle_caps_found = var_B
    return total_wrappers_found - total_bottle_caps_found","{'var_A': 65.0, 'var_B': 5.0, 'var_C': 31.0, 'var_D': 9.0}",False,
The ring toss game at the carnival made 144 dollars per day. They were at the carnival for 22 days. How much money did they make?,Multiplication,3168.0,3168,3168.0,3168.0,The ring toss game at the carnival made var_A dollars per day. They were at the carnival for var_B days. How much money did they make?,1. Multiply the daily earnings from the ring toss game by the number of days they were at the carnival to find the total earnings.,var_A * var_B,"def solution(var_A, var_B):
    return var_A * var_B","{'var_A': 144.0, 'var_B': 22.0}",False,
The school is planning a field trip. The school has 72 classrooms. There are 3 seats on each school bus. If there are a total of 111 students in the school How many buses are needed to take the trip?,Common-Division,37.0,37,37.0,37,The school is planning a field trip. The school has var_A classrooms. There are var_B seats on each school bus. If there are a total of var_C students in the school How many buses are needed to take the trip?,"1. Determine the total number of students that need transportation, which is given as 111.
2. Divide the total number of students by the number of seats on each bus (3) to find out how many buses are needed.
3. If the division does not result in a whole number, round up to the nearest whole number since you cannot have a fraction of a bus.",(var_C + var_B - 1) // var_B,"def solution(var_A, var_B, var_C):
    import math
    return math.ceil(var_C / var_B)","{'var_A': 72.0, 'var_B': 3.0, 'var_C': 111.0}",False,
Winter is almost here and most animals are migrating to warmer countries. There are 3 bird families living near the mountain. 26 new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. How many bird families were left near the mountain?,Addition,27.0,27,27.0,27.0,Winter is almost here and most animals are migrating to warmer countries. There are var_A bird families living near the mountain. var_B new bird families came to live near the mountain from the arctic while var_C bird families flew away further south for winter. How many bird families were left near the mountain?,"1. Start with the initial number of bird families living near the mountain.
2. Add the number of new bird families that came from the arctic to the initial number.
3. Subtract the number of bird families that flew away further south from the total obtained in step 2 to find the number of bird families left near the mountain.",var_A + var_B - var_C,"def solution(var_A, var_B, var_C):
    return var_A + var_B - var_C","{'var_A': 3.0, 'var_B': 26.0, 'var_C': 2.0}",False,
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,Addition,450.0,720,720.0,720.0,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked var_A cookies yesterday var_B cookies this morning and var_C cookies the day before yesterday. How many cookies did Helen bake till last night?,"1. Add the number of cookies Helen baked yesterday to the number of cookies she baked this morning.
2. Add the result from step 1 to the number of cookies she baked the day before yesterday to find the total number of cookies baked until last night.",var_A + var_B + var_C,"def solution(var_A, var_B, var_C):
    step1 = var_A + var_B
    total_cookies = step1 + var_C
    return total_cookies","{'var_A': 31.0, 'var_B': 270.0, 'var_C': 419.0}",False,
"7 red peaches, 15 yellow peaches and 8 green peaches are in the basket. How many peaches are in the basket?",Addition,30.0,30,30.0,30.0,"var_A red peaches, var_B yellow peaches and var_C green peaches are in the basket. How many peaches are in the basket?","1. Add the number of red peaches to the number of yellow peaches.
2. Add the result from step 1 to the number of green peaches to find the total number of peaches in the basket.",var_A + var_B + var_C,"def solution(var_A, var_B, var_C):
    return var_A + var_B + var_C","{'var_A': 7.0, 'var_B': 15.0, 'var_C': 8.0}",False,
Paul got a box of some crayons for his birthday. By the end of the school year he had either lost or given away 551 of them and only had 177 left. How many crayons did he get for his birthday?,Addition,728.0,728,728.0,728.0,Paul got a box of some crayons for his birthday. By the end of the school year he had either lost or given away var_A of them and only had var_B left. How many crayons did he get for his birthday?,"1. Add the number of crayons Paul lost or gave away to the number of crayons he has left to find the total number of crayons he originally had.
2. The equation to use is: Original crayons = Crayons lost/given away + Crayons left.",var_A + var_B,"def solution(var_A, var_B):
    return var_A + var_B","{'var_A': 551.0, 'var_B': 177.0}",False,
A grocery store had 22 bottles of regular soda and 61 bottles of diet soda. How many more bottles of diet soda than regular soda did they have?,Subtraction,39.0,39,39.0,39.0,A grocery store had var_A bottles of regular soda and var_B bottles of diet soda. How many more bottles of diet soda than regular soda did they have?,"1. Identify the number of bottles of regular soda and diet soda.
2. Subtract the number of bottles of regular soda from the number of bottles of diet soda to find out how many more bottles of diet soda there are.",var_B - var_A,"def solution(var_A, var_B):
    return var_B - var_A","{'var_A': 22.0, 'var_B': 61.0}",False,
Danny collects bottle caps and wrappers. He found 66 wrappers and 39 bottle caps at the park. Now he has 16 bottle caps and 68 wrappers in his collection. How many wrappers did danny have at first?,Subtraction,2.0,,-18.0,68.0,Danny collects bottle caps and wrappers. He found var_A wrappers and var_B bottle caps at the park. Now he has var_C bottle caps and var_D wrappers in his collection. How many wrappers did danny have at first?,"1. Determine the total number of wrappers Danny has now by adding the wrappers he found at the park to the wrappers in his collection.
2. Subtract the total number of wrappers he has now from the total number of wrappers he found to find out how many wrappers he had at first.",var_A - (var_C + var_D),"def solution(var_A, var_B, var_C, var_D):
    total_wrappers_now = var_A + var_D
    return total_wrappers_now - var_A","{'var_A': 66.0, 'var_B': 39.0, 'var_C': 16.0, 'var_D': 68.0}",True,'Code_Result'
Allan brought 5 balloons. If Allan and Jake brought total of 6 balloons to the park How many balloons did Jake bring to the park?,Subtraction,1.0,1,1.0,1.0,Allan brought var_A balloons. If Allan and Jake brought total of var_B balloons to the park How many balloons did Jake bring to the park?,"1. Subtract the number of balloons Allan brought from the total number of balloons brought by both Allan and Jake to find out how many balloons Jake brought.
2. The equation to use is: Total balloons - Balloons brought by Allan = Balloons brought by Jake.",var_B - var_A,"def solution(var_A, var_B):
    return var_B - var_A","{'var_A': 5.0, 'var_B': 6.0}",False,
David did 51 push-ups in gym class today. David did 49 more push-ups than Zachary. How many push-ups did Zachary and David do altogether?,Subtraction,53.0,53,53.0,53.0,David did var_A push - ups in gym class today. David did var_B more push - ups than Zachary. How many push - ups did Zachary and David do altogether?,"1. Subtract the number of extra push-ups David did (49) from the total push-ups he did (51) to find out how many push-ups Zachary did.
2. Add the number of push-ups David did (51) to the number of push-ups Zachary did to find the total number of push-ups they did altogether.",var_A + (var_A - var_B),"def solution(var_A, var_B):
    var_Z = var_A - var_B
    return var_A + var_Z","{'var_A': 51.0, 'var_B': 49.0}",False,
