Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,Addition,91.0,,41.0,,Danny collects bottle caps. He lost var_A bottle caps at the park. Now he has var_B bottle caps in his collection. How many bottle caps did danny have at first?,var_A - var_B,"var_A = 10
var_B = 20
print(var_A + var_B)","{'var_A': 66.0, 'var_B': 25.0}",False,
Faye was placing her pencils into rows with 22 pencils in each row. She had 6 packs of pencils each one having 14 pencils. How many pencils does she have?,Multiplication,84.0,,1848.0,,Faye was placing her pencils into rows with var_A pencils in each row. She had var_B packs of pencils each one having var_C pencils. How many pencils does she have?,var_A * var_B * var_C,var_A * var_B * var_C,"{'var_A': 22.0, 'var_B': 6.0, 'var_C': 14.0}",False,
Danny collects bottle caps and wrappers. He found 65 wrappers and 5 bottle caps at the park. Now he has 31 bottle caps and 9 wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,Subtraction,60.0,,60.0,,Danny collects bottle caps and wrappers. He found var_A wrappers and var_B bottle caps at the park. Now he has var_C bottle caps and var_D wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,var_A - var_B,var_A - var_B = var_C - var_D,"{'var_A': 65.0, 'var_B': 5.0, 'var_C': 31.0, 'var_D': 9.0}",False,
The ring toss game at the carnival made 144 dollars per day. They were at the carnival for 22 days. How much money did they make?,Multiplication,3168.0,,3168.0,,The ring toss game at the carnival made var_A dollars per day. They were at the carnival for var_B days. How much money did they make?,var_A * var_B,var_A * var_B,"{'var_A': 144.0, 'var_B': 22.0}",False,
The school is planning a field trip. The school has 72 classrooms. There are 3 seats on each school bus. If there are a total of 111 students in the school How many buses are needed to take the trip?,Common-Division,37.0,,,,The school is planning a field trip. The school has var_A classrooms. There are var_B seats on each school bus. If there are a total of var_C students in the school How many buses are needed to take the trip?,var_C = var_A * var_B / var_C,var_C = var_A * var_B / var_C,"{'var_A': 72.0, 'var_B': 3.0, 'var_C': 111.0}",False,
Winter is almost here and most animals are migrating to warmer countries. There are 3 bird families living near the mountain. 26 new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. How many bird families were left near the mountain?,Addition,27.0,,27.0,,Winter is almost here and most animals are migrating to warmer countries. There are var_A bird families living near the mountain. var_B new bird families came to live near the mountain from the arctic while var_C bird families flew away further south for winter. How many bird families were left near the mountain?,var_A + var_B - var_C,"var_A = 5
var_B = 10
var_C = 20
var_D = var_A + var_B - var_C
print(var_D)","{'var_A': 3.0, 'var_B': 26.0, 'var_C': 2.0}",False,
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,Addition,450.0,,720.0,,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked var_A cookies yesterday var_B cookies this morning and var_C cookies the day before yesterday. How many cookies did Helen bake till last night?,var_A + var_B + var_C,"var_A = 7
var_B = 6
var_C = var_A - var_B
print(var_C)","{'var_A': 31.0, 'var_B': 270.0, 'var_C': 419.0}",False,
"7 red peaches, 15 yellow peaches and 8 green peaches are in the basket. How many peaches are in the basket?",Addition,30.0,,30.0,,"var_A red peaches, var_B yellow peaches and var_C green peaches are in the basket. How many peaches are in the basket?",var_A + var_B + var_C,"```python
peaches = 0
peaches += 3  # var_A
peaches += 3  # var_B
peaches += 3  # var_C
print(peaches)
```","{'var_A': 7.0, 'var_B': 15.0, 'var_C': 8.0}",False,
Paul got a box of some crayons for his birthday. By the end of the school year he had either lost or given away 551 of them and only had 177 left. How many crayons did he get for his birthday?,Addition,728.0,,728.0,,Paul got a box of some crayons for his birthday. By the end of the school year he had either lost or given away var_A of them and only had var_B left. How many crayons did he get for his birthday?,var_A + var_B,"var_A = 100
var_B = 100 - var_A","{'var_A': 551.0, 'var_B': 177.0}",False,
A grocery store had 22 bottles of regular soda and 61 bottles of diet soda. How many more bottles of diet soda than regular soda did they have?,Subtraction,39.0,,-39.0,,A grocery store had var_A bottles of regular soda and var_B bottles of diet soda. How many more bottles of diet soda than regular soda did they have?,var_A - var_B,"var_A = 10
var_B = 15
print(var_B - var_A)","{'var_A': 22.0, 'var_B': 61.0}",False,
