Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Rough Solution,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
There are 4502 skittles in Steven's skittles collection. Steven also has 4276 erasers. If the skittles and erasers are organized into 154 groups How big is each group?,Common-Division,57.0,,57.0,57.0,There are var_A skittles in Steven's skittles collection. Steven also has var_B erasers. If the skittles and erasers are organized into var_C groups How big is each group?,"1. Add the total number of skittles and erasers together to find the total number of items in the collection.
2. Divide the total number of items by the number of groups to find out how many items are in each group.",(var_A + var_B) // var_C,"def solution(var_A, var_B, var_C):
    total_items = var_A + var_B
    return total_items / var_C","{'var_A': 4502.0, 'var_B': 4276.0, 'var_C': 154.0}",True,'Code_Result'
Lucy went to the grocery store. She bought 10 packs of cookie and 4 packs of cake. How many more packs of cookie did she buy over cake?,Subtraction,6.0,6.0,6.0,6.0,Lucy went to the grocery store. She bought var_A packs of cookie and var_B packs of cake. How many more packs of cookie did she buy over cake?,"1. Identify the number of packs of cookies Lucy bought.
2. Identify the number of packs of cakes Lucy bought.
3. Subtract the number of packs of cake from the number of packs of cookie to find out how many more packs of cookie she bought over cake.",var_A - var_B,"def solution(var_A, var_B):
    cookies = var_A
    cakes = var_B
    return cookies - cakes","{'var_A': 10.0, 'var_B': 4.0}",False,
Lawrence county has 313473 kids. During summer break 274865 kids stay home and the rest go to camp. How many kids go to the camp during the break?,Subtraction,38608.0,38608.0,38608.0,38608.0,Lawrence county has var_A kids. During summer break var_B kids stay home and the rest go to camp. How many kids go to the camp during the break?,"1. Subtract the number of kids who stay home from the total number of kids to find out how many kids go to camp.
2. The result will give the number of kids attending camp during the break.",var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B","{'var_A': 313473.0, 'var_B': 274865.0}",False,
Paco had 40 cookies. He ate 2 of them. Then he bought 37 more cookies How many cookies did Paco have left?,Addition,75.0,75.0,75.0,75.0,Paco had var_A cookies. He ate var_B of them. Then he bought var_C more cookies How many cookies did Paco have left?,"1. Subtract the number of cookies Paco ate from the initial number of cookies he had.
2. Add the number of cookies Paco bought to the remaining cookies after eating.",var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    remaining_cookies = var_A - var_B
    return remaining_cookies + var_C","{'var_A': 40.0, 'var_B': 2.0, 'var_C': 37.0}",False,
Edward had $ 18. He spent $ 16. How much money does Edward have now?,Subtraction,2.0,2.0,2.0,2.0,Edward had $ var_A He spent $ var_B How much money does Edward have now?,"1. Start with the total amount of money Edward had initially.
2. Subtract the amount he spent from the initial total to find out how much money he has left.",var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B","{'var_A': 18.0, 'var_B': 16.0}",False,
Paco had 9 sweet cookies and 6 salty cookies. He ate 36 sweet cookies and 3 salty cookies. How many salty cookies did Paco have left?,Subtraction,3.0,3.0,3.0,3.0,Paco had var_A sweet cookies and var_B salty cookies. He ate var_C sweet cookies and var_D salty cookies. How many salty cookies did Paco have left?,"1. Identify the initial number of salty cookies Paco had.
2. Subtract the number of salty cookies he ate from the initial number of salty cookies to find out how many he has left.",var_B - var_D,"def solution(var_A, var_B, var_C, var_D):
    initial_salty_cookies = var_B
    salty_cookies_left = initial_salty_cookies - var_D
    return salty_cookies_left","{'var_A': 9.0, 'var_B': 6.0, 'var_C': 36.0, 'var_D': 3.0}",False,
Josh had 20 marbles in his collection. He gave 2 marbles to Jack. How many marbles does Josh have now?,Subtraction,18.0,18.0,18.0,18.0,Josh had var_A marbles in his collection. He gave var_B marbles to Jack. How many marbles does Josh have now?,"1. Start with the total number of marbles Josh had initially.
2. Subtract the number of marbles Josh gave to Jack from the initial total to find out how many marbles Josh has now.",var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B","{'var_A': 20.0, 'var_B': 2.0}",False,
Mary is baking a cake. The recipe calls for 6 cups of sugar and 9 cups of flour. She already put in 2 cups of flour. How many more cups of flour than cups of sugar does she need to add now?,Subtraction,1.0,,-1.0,1.0,Mary is baking a cake. The recipe calls for var_A cups of sugar and var_B cups of flour. She already put in var_C cups of flour. How many more cups of flour than cups of sugar does she need to add now?,"1. Determine how many cups of flour Mary still needs to add by subtracting the amount of flour she has already added from the total required flour.
2. Calculate the difference between the total cups of sugar and the remaining cups of flour needed to find out how many more cups of flour than cups of sugar she needs to add.",var_A - (var_B - var_C),"def solution(var_A, var_B, var_C):
    remaining_flour = var_B - var_C
    return remaining_flour - var_A","{'var_A': 6.0, 'var_B': 9.0, 'var_C': 2.0}",True,'Code_Result'
Mary is baking a cake. The recipe calls for 11 cups of sugar 6 cups of flour and 9 cups of salt. She already put in 12 cups of flour. How many more cups of sugar than cups of salt does she need to add now?,Subtraction,2.0,2.0,2.0,2.0,Mary is baking a cake. The recipe calls for var_A cups of sugar var_B cups of flour and var_C cups of salt. She already put in var_D cups of flour. How many more cups of sugar than cups of salt does she need to add now?,"1. Identify the amount of sugar and salt required by the recipe (11 cups of sugar and 9 cups of salt).
2. Since Mary has already put in 12 cups of flour, note that this does not affect the amounts of sugar and salt needed.
3. Calculate the difference between the cups of sugar and cups of salt required by subtracting the amount of salt from the amount of sugar (11 cups of sugar - 9 cups of salt). 
4. The result will give the number of more cups of sugar than cups of salt that she needs to add.",var_A - var_C,"def solution(var_A, var_B, var_C, var_D):
    sugar_needed = var_A
    salt_needed = var_C
    return sugar_needed - salt_needed","{'var_A': 11.0, 'var_B': 6.0, 'var_C': 9.0, 'var_D': 12.0}",False,
Next on his checklist is wax to stick the feathers together and colors to paint them. He needs a total of 57 g of colors to paint them. He needs 22 g of wax more. If the feathers require a total of 353 g of wax How many grams of wax does he already have?,Subtraction,331.0,331.0,331.0,331.0,Next on his checklist is wax to stick the feathers together and colors to paint them. He needs a total of var_A g of colors to paint them. He needs var_B g of wax more. If the feathers require a total of var_C g of wax How many grams of wax does he already have?,"1. Determine the total amount of wax needed by subtracting the additional wax needed from the total wax required for the feathers.
2. Subtract the total amount of wax needed from the total wax required to find out how much wax he already has.",var_C - var_B,"def solution(var_A, var_B, var_C):
    total_wax_needed = var_C - var_B
    return total_wax_needed","{'var_A': 57.0, 'var_B': 22.0, 'var_C': 353.0}",False,
