Question,Type,Correct Answer,Predicted Answer,Response,Error,Error Message
A patient's blood pressure reduces from 140/90 to 120/80 mmHg. What is the percentage reduction in systolic pressure?,Cardiovascular Medicine,14.3,14.29,"To calculate the percentage reduction in systolic pressure, we can follow these steps:

1. **Identify the initial and final systolic pressures**:
   - Initial systolic pressure = 140 mmHg
   - Final systolic pressure = 120 mmHg

2. **Calculate the reduction in systolic pressure**:
   \[
   \text{Reduction} = \text{Initial Systolic Pressure} - \text{Final Systolic Pressure} = 140 \, \text{mmHg} - 120 \, \text{mmHg} = 20 \, \text{mmHg}
   \]

3. **Calculate the percentage reduction**:
   \[
   \text{Percentage Reduction} = \left( \frac{\text{Reduction}}{\text{Initial Systolic Pressure}} \right) \times 100
   \]
   \[
   \text{Percentage Reduction} = \left( \frac{20 \,The percentage reduction in systolic pressure is:

\[
\text{Percentage Reduction} = \left( \frac{20 \, \text{mmHg}}{140 \, \text{mmHg}} \right) \times 100 \approx 14.29\%
\]

Therefore, the answer is: **14.29**",False,
"The gravitational field strength on Earth's surface is approximately 9.8 N/kg. For a mass of 5 kg, What is the weight in Newtons?",Weight Calculation,49.0,49.0,"To calculate the weight of an object, you can use the formula:

\[
\text{Weight} = \text{mass} \times \text{gravitational field strength}
\]

In this case, the mass is 5 kg and the gravitational field strength on Earth's surface is approximately 9.8 N/kg. 

Now, let's plug in the values:

\[
\text{Weight} = 5 \, \text{kg} \times 9.8 \, \text{N/kg}
\]

Calculating this gives:

\[
\text{Weight} = 49 \, \text{N}
\]

So, the weight of the 5 kg mass is **49 Newtons**.49",False,
"An item costs $50, but a discount of 10% is applied. What is the price after discount?",Percentage,45.0,45.0,"Sure! Let's calculate the price after applying a 10% discount step by step.

1. **Determine the discount amount**: 
   - The original price of the item is $50.
   - The discount is 10% of $50.
   - To find the discount amount, we calculate:
     \[
     \text{Discount} = \text{Original Price} \times \left(\frac{\text{Discount Percentage}}{100}\right) = 50 \times \left(\frac{10}{100}\right) = 50 \times 0.10 = 5
     \]

2. **Subtract the discount from the original price**:
   - Now, we subtract the discount amount from the original price:
     \[
     \text{Price after discount} = \text{Original Price} - \text{Discount} = 50 - 5 = 45
     \]

So, the price after the 10% discount45",False,
"The efficiency of a heat engine is 30%. If it does 300 J of work, How much heat does it absorb from the hot reservoir?",Heat Engine Efficiency,1000.0,1000.0,"To find out how much heat the heat engine absorbs from the hot reservoir, we can use the formula for the efficiency of a heat engine:

\[
\text{Efficiency} (\eta) = \frac{\text{Work output} (W)}{\text{Heat absorbed} (Q_h)}
\]

Given that the efficiency (\(\eta\)) is 30%, we can express this as a decimal:

\[
\eta = 0.30
\]

We are also given that the work output (\(W\)) is 300 J. We can rearrange the efficiency formula to solve for the heat absorbed (\(Q_h\)):

\[
Q_h = \frac{W}{\eta}
\]

Now, substituting the values we have:

\[
Q_h = \frac{300 \, \text{J}}{0.30}
\]

Calculating this gives:

\[
Q_h = 1000 \, \text{J}
1000",False,
"The atomic mass of carbon is 12 amu. In a sample of 24 grams of carbon, How many moles are present?",Mole Calculation,2.0,2.0,"To find the number of moles of carbon in a 24-gram sample, we can use the formula:

\[
\text{Number of moles} = \frac{\text{mass (g)}}{\text{molar mass (g/mol)}}
\]

1. **Identify the mass of the sample**: The mass of the carbon sample is given as 24 grams.

2. **Identify the molar mass of carbon**: The atomic mass of carbon is given as 12 amu, which is equivalent to 12 g/mol for the purposes of calculating moles.

3. **Plug the values into the formula**:

\[
\text{Number of moles} = \frac{24 \text{ g}}{12 \text{ g/mol}} = 2 \text{ moles}
\]

Therefore, in a sample of 24 grams of carbon, there are **2 moles** of carbon present.2",False,
The pH of a solution is 9. What is the pOH of the solution?,pH and pOH,5.0,5.0,"To find the pOH of a solution when you know the pH, you can use the following relationship:

\[
\text{pH} + \text{pOH} = 14
\]

Given that the pH of the solution is 9, you can rearrange the equation to solve for pOH:

\[
\text{pOH} = 14 - \text{pH}
\]

Now, substitute the given pH value into the equation:

\[
\text{pOH} = 14 - 9
\]

Calculating this gives:

\[
\text{pOH} = 5
\]

So, the pOH of the solution is 5.5",False,
"A pendulum has a period of 2 seconds. On a planet where g = 1.62 m/s², What is the length of the pendulum in meters?",Pendulum Motion,0.26,2.0,"To find the length of a pendulum given its period and the acceleration due to gravity, we can use the formula for the period of a simple pendulum:

\[
T = 2\pi \sqrt{\frac{L}{g}}
\]

where:
- \( T \) is the period of the pendulum,
- \( L \) is the length of the pendulum,
- \( g \) is the acceleration due to gravity.

Given:
- \( T = 2 \) seconds,
- \( g = 1.62 \, \text{m/s}^2 \).

We need to solve for \( L \). First, we can rearrange the formula to isolate \( L \):

\[
L = \frac{g T^2}{4\pi^2}
\]

Now, we can substitute the values of \( T \) and \( g \) into the equation:

1. Calculate \( T^2 \):
   \[
  To find the length \( L \) of the pendulum, we first calculate \( T^2 \):

\[
T^2 = (2 \, \text{s})^2 = 4 \, \text{s}^2
\]

Now, we can substitute \( T^2 \) and \( g \) into the rearranged formula:

\[
L = \frac{g T^2}{4\pi^2}
\]

Substituting the values:

\[
L = \frac{1.62 \, \text{m/s}^2 \cdot 4 \, \text{s}^2}{4\pi^2}
\]

Calculating the numerator:

\[
1.62 \, \text{m/s}^2 \cdot 4 \, \text{s}^2 = 6.48 \, \text{m}
\]

Now, we need to calculate \( 4\pi",False,
A car travels at 60 km/h for 2 hours. What distance does it cover in meters?,Distance Calculation,120000.0,120000.0,"To find the distance covered by the car, we can use the formula:

\[
\text{Distance} = \text{Speed} \times \text{Time}
\]

1. **Identify the speed and time**:
   - Speed = 60 km/h
   - Time = 2 hours

2. **Calculate the distance in kilometers**:
   \[
   \text{Distance} = 60 \, \text{km/h} \times 2 \, \text{h} = 120 \, \text{km}
   \]

3. **Convert the distance from kilometers to meters**:
   - We know that 1 kilometer = 1000 meters.
   \[
   \text{Distance in meters} = 120 \, \text{km} \times 1000 \, \text{m/km} = 120,000 \, \text{m}
   \]

So, the distance covered by the120000",False,
A thermal expansion coefficient is 2e-5 K⁻¹ for a metal rod. How much does a 1-meter rod expand when heated from 20°C to 120°C?,Material Science,0.002,2.0,"To calculate the expansion of a metal rod due to thermal expansion, we can use the formula:

\[
\Delta L = L_0 \cdot \alpha \cdot \Delta T
\]

where:
- \(\Delta L\) is the change in length,
- \(L_0\) is the original length of the rod,
- \(\alpha\) is the coefficient of linear expansion,
- \(\Delta T\) is the change in temperature.

Given:
- \(L_0 = 1 \, \text{meter}\)
- \(\alpha = 2 \times 10^{-5} \, \text{K}^{-1}\)
- Initial temperature \(T_1 = 20^\circ C\)
- Final temperature \(T_2 = 120^\circ C\)

First, we need to calculate the change in temperature (\(\Delta T\)):

\[
\Delta T = T_2 - T_To calculate the change in temperature (\(\Delta T\)), we have:

\[
\Delta T = T_2 - T_1 = 120^\circ C - 20^\circ C = 100 \, \text{K}
\]

Now we can substitute the values into the thermal expansion formula:

\[
\Delta L = L_0 \cdot \alpha \cdot \Delta T
\]

Substituting the known values:

\[
\Delta L = 1 \, \text{meter} \cdot (2 \times 10^{-5} \, \text{K}^{-1}) \cdot (100 \, \text{K})
\]

Calculating this step-by-step:

1. Calculate \(\alpha \cdot \Delta T\):

\[
\alpha \cdot \Delta T = (2 \times 10^{-5} \, \text{K}^{-1}) \cdot (",False,
"The speed of sound in air is 343 m/s. If an echo returns after 2 seconds, How far away is the reflecting surface?",Wave Motion,343.0,686.0,"To determine how far away the reflecting surface is when an echo returns after 2 seconds, we can follow these steps:

1. **Understand the concept of an echo**: When you make a sound, it travels to a reflecting surface (like a wall) and then bounces back to you. The total time taken for the sound to travel to the surface and back is the time for the echo.

2. **Calculate the total distance traveled by the sound**: Since the echo returns after 2 seconds, the sound travels for 2 seconds in total. 

3. **Use the speed of sound**: The speed of sound in air is given as 343 m/s. 

4. **Calculate the total distance**:
   \[
   \text{Total distance} = \text{Speed} \times \text{Time} = 343 \, \text{m/s} \times 2 \, \text{s} = 686 \, \text{686",False,
