Question,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Rough Solution,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
" A florist had 6 roses. If she sold 5 of them and then later picked 12 more, how many roses would she have? ",13,13,13.0,13.0,"A florist had var_A roses. If she sold var_B of them and then later picked var_C more, how many roses would she have?","1. Subtract the number of roses sold from the initial number of roses to find out how many roses the florist has left.
2. Add the number of roses picked to the number of roses left to find out how many roses the florist has now.",var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    return var_A - var_B + var_C","{'var_A': 6.0, 'var_B': 5.0, 'var_C': 12.0}",False,
" George had 28 socks. If he threw away 4 old ones that didn't fit and bought 36 new ones, how many socks would he have? ",60,,,,"George had var_A socks. If he threw away var_B old ones that didn't fit and bought var_C new ones, how many socks would he have?","1. Start with the number of socks George had.
2. Subtract the number of socks he threw away to find the number of socks he had after that.
3. Add the number of socks he bought to find the total number of socks George has now.",D - B + C,"def solution(var_A, var_B, var_C):
    socks = var_A
    socks -= var_B
    socks += var_C
    return socks","{'var_A': 28.0, 'var_B': 4.0, 'var_C': 36.0}",True,"must be real number, not NoneType"
" Chloe baked 7 brownies, but needed 16 total for her party. If she used 6 cups of flour on each one, how much cups of flour does she still need? ",54,,,,"Chloe baked var_A brownies, but needed var_B total for her party. If she used var_C cups of flour on each one, how much cups of flour does she still need?","1. Subtract the number of brownies Chloe baked from the total number of brownies needed to find out how many brownies she still needs.
2. Multiply the number of brownies she still needs by the number of cups of flour she used per brownie to find out how many cups of flour she still needs.","var_A - var_B
var_C * (var_A - var_B)","def solution(var_A, var_B, var_C):
    remaining_brownies = var_A - var_B
    remaining_cups = remaining_brownies * var_C
    return remaining_cups","{'var_A': 7.0, 'var_B': 16.0, 'var_C': 6.0}",True,"must be real number, not NoneType"
" A painter needed to paint 12 rooms in a building. Each room takes 7 hours to paint. If he already painted 5 rooms, how much longer will he take to paint the rest? ",49,,,,"A painter needed to paint var_A rooms in a building. Each room takes var_B hours to paint. If he already painted var_C rooms, how much longer will he take to paint the rest?","1. Calculate the number of rooms left to paint.
2. Multiply the number of rooms left to paint by the number of hours it takes to paint each room to find out how many hours it will take to paint the rest.
3. Subtract the hours it will take to paint the rest from the hours it takes to paint the initial 5 rooms.","var_A - var_C
(var_A - var_C) * var_B
(var_A - var_C) * var_B + var_C * var_B","def solution(var_A, var_B, var_C):
    rooms_left = var_A - var_C
    hours_to_paint = var_B * rooms_left
    hours_to_paint_initial = var_B * 5
    hours_to_paint_rest = hours_to_paint_initial - hours_to_paint
    return hours_to_paint_rest","{'var_A': 12.0, 'var_B': 7.0, 'var_C': 5.0}",True,"must be real number, not NoneType"
" There school's baseball team had 31 new players and 4 returning players. If the coach put them into groups with 7 players in each group, how many groups would there be? ",5,5,5.0,5.0,"There school's baseball team had var_A new players and var_B returning players. If the coach put them into groups with var_C players in each group, how many groups would there be?","1. Add the number of new players and returning players to find the total number of players.
2. Divide the total number of players by the number of players per group to find the number of groups.",(var_A + var_B) / var_C,"def solution(var_A, var_B, var_C):
    total_players = var_A + var_B
    groups = total_players // var_C
    return groups","{'var_A': 31.0, 'var_B': 4.0, 'var_C': 7.0}",False,
 Sarah's old washing machine could only wash 5 pieces of clothing at a time. If she had to wash 43 shirts and 2 sweaters how many loads would she have to do? ,9,,2.0,46.0,Sarah's old washing machine could only wash var_A pieces of clothing at a time. If she had to wash var_B shirts and var_C sweaters how many loads would she have to do?,"1. Divide the total number of shirts by the number of shirts the washing machine can wash at a time to find out how many loads Sarah needs to do.
2. Multiply the number of shirts by the number of sweaters to find out how many sweaters she needs to wash.",var_A // var_B + var_C,"def solution(var_A, var_B, var_C):
    loads_for_var_A = var_A // var_A
    loads_for_var_B = var_B
    loads_for_var_C = var_C
    total_loads = loads_for_var_A + loads_for_var_B + loads_for_var_C
    return total_loads","{'var_A': 5.0, 'var_B': 43.0, 'var_C': 2.0}",True,'Code_Result'
" At the fair Adam bought 10 tickets. After riding the ferris wheel he had 3 tickets left. If each ticket cost 9 dollars, how much money did Adam spend riding the ferris wheel? ",63,63,63.0,63.0,"At the fair Adam bought var_A tickets. After riding the ferris wheel he had var_B tickets left. If each ticket cost var_C dollars, how much money did Adam spend riding the ferris wheel?","1. Subtract the number of tickets Adam had left from the number of tickets he bought to find out how many tickets he rode the ferris wheel.
2. Multiply the number of tickets he rode the ferris wheel by the cost of each ticket to find out how much money he spent.",(var_A - var_B) * var_C,"def solution(var_A, var_B, var_C):
    tickets_ridden = var_A - var_B
    money_spent = tickets_ridden * var_C
    return money_spent","{'var_A': 10.0, 'var_B': 3.0, 'var_C': 9.0}",False,
" Mike made 42 dollars mowing lawns over the summer. If he spent 10 dollars buying new mower blades, how many 8 dollar games could he buy with the money he had left? ",4,,,,"Mike made var_A dollars mowing lawns over the summer. If he spent var_B dollars buying new mower blades, how many var_C dollar games could he buy with the money he had left?","1. Subtract the cost of the new mower blades from the total amount of money Mike made to find out how much money he has left.
2. Divide the amount of money left by the cost of the games to find out how many games Mike can buy.",(var_A - var_B) / var_C,"def solution(var_A, var_B):
    money_left = var_A - var_B
    games = money_left // var_C
    return games","{'var_A': 42.0, 'var_B': 10.0, 'var_C': 8.0}",True,"must be real number, not NoneType"
" At a restaurant each adult meal costs $2 and kids eat free. If a group of 9 people came in and 2 were kids, how much would it cost for the group to eat? ",14,,,,"At a restaurant each adult meal costs $ var_A and kids eat free. If a group of var_B people came in and var_C were kids, how much would it cost for the group to eat?","1. Subtract the number of kids from the total number of people to find out how many adults are at the restaurant.
2. Multiply the number of adults by the cost of each adult meal to find out how much it would cost for the group to eat.","var_A = D - var_C
var_A * var_A = var_B * var_B","def solution(var_A, var_B, var_C):
    adults = var_B - var_C
    cost = adults * var_A
    return cost","{'var_A': 2.0, 'var_B': 9.0, 'var_C': 2.0}",True,"must be real number, not NoneType"
" John made 6 dollars mowing lawns and 18 dollars weed eating. If he only spent 3 dollar a week, how long would the money last him? ",8,8,8.0,8.0,"John made var_A dollars mowing lawns and var_B dollars weed eating. If he only spent var_C dollar a week, how long would the money last him?","1. Add the amount of money John made from mowing lawns and weed eating to find the total amount of money he made.
2. Divide the total amount of money by the amount he spent per week to find out how many weeks the money will last.",(var_A + var_B) / var_C,"def solution(var_A, var_B, var_C):
    total_money = var_A + var_B
    weeks_last = total_money / var_C
    return weeks_last","{'var_A': 6.0, 'var_B': 18.0, 'var_C': 3.0}",False,
