Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Rough Solution,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,Addition,91.0,,25.0,66.0,Danny collects bottle caps. He lost var_A bottle caps at the park. Now he has var_B bottle caps in his collection. How many bottle caps did danny have at first?,"1. Add the number of bottle caps Danny lost to the number he has now to find the total number of bottle caps he has.
2. Subtract the total number of bottle caps he has now from the total number he has now to find the number of bottle caps he lost.",var_A + var_B - var_A,"def solution(var_A, var_B):
    total_caps = var_A + var_B
    lost_caps = total_caps - var_B
    return lost_caps","{'var_A': 66.0, 'var_B': 25.0}",True,'Code_Result'
Faye was placing her pencils into rows with 22 pencils in each row. She had 6 packs of pencils each one having 14 pencils. How many pencils does she have?,Multiplication,84.0,,146.0,440.0,Faye was placing her pencils into rows with var_A pencils in each row. She had var_B packs of pencils each one having var_C pencils. How many pencils does she have?,"1. Multiply the number of pencils in each pack by the number of packs to find the total number of pencils.
2. Add the total number of pencils to the number of pencils Faye already had.",(var_A * var_B) + var_C,"def solution(var_A, var_B, var_C):
    total_pencils = var_A * var_B + var_A * var_C
    return total_pencils","{'var_A': 22.0, 'var_B': 6.0, 'var_C': 14.0}",True,'Code_Result'
Danny collects bottle caps and wrappers. He found 65 wrappers and 5 bottle caps at the park. Now he has 31 bottle caps and 9 wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,Subtraction,60.0,,26.0,22.0,Danny collects bottle caps and wrappers. He found var_A wrappers and var_B bottle caps at the park. Now he has var_C bottle caps and var_D wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,"1. Subtract the number of bottle caps from the number of wrappers to find the difference.
2. Subtract the number of wrappers from the number of bottle caps to find the difference.",var_C - var_B,"def solution(var_A, var_B, var_C, var_D):
    difference = var_A - var_B
    difference = var_B - var_C
    difference = var_C - var_D
    return difference","{'var_A': 65.0, 'var_B': 5.0, 'var_C': 31.0, 'var_D': 9.0}",True,'Code_Result'
The ring toss game at the carnival made 144 dollars per day. They were at the carnival for 22 days. How much money did they make?,Multiplication,3168.0,,456192.0,3168.0,The ring toss game at the carnival made var_A dollars per day. They were at the carnival for var_B days. How much money did they make?,"1. Multiply the daily earnings by the number of days to find the total earnings.
2. Multiply the total earnings by the number of days to find the total amount made.",(var_A * var_B) * var_A,"def solution(var_A, var_B):
    return var_A * var_B","{'var_A': 144.0, 'var_B': 22.0}",True,'Code_Result'
The school is planning a field trip. The school has 72 classrooms. There are 3 seats on each school bus. If there are a total of 111 students in the school How many buses are needed to take the trip?,Common-Division,37.0,,37.0,2664.0,The school is planning a field trip. The school has var_A classrooms. There are var_B seats on each school bus. If there are a total of var_C students in the school How many buses are needed to take the trip?,"1. Divide the total number of students by the number of seats on each bus to find out how many buses are needed.
2. Multiply the number of buses by the number of classrooms to find out how many buses are needed.",var_C // var_B,"def solution(var_A, var_B, var_C):
    buses_needed = var_C // var_B
    return buses_needed * var_A","{'var_A': 72.0, 'var_B': 3.0, 'var_C': 111.0}",True,'Code_Result'
Winter is almost here and most animals are migrating to warmer countries. There are 3 bird families living near the mountain. 26 new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. How many bird families were left near the mountain?,Addition,27.0,,27.0,-25.0,Winter is almost here and most animals are migrating to warmer countries. There are var_A bird families living near the mountain. var_B new bird families came to live near the mountain from the arctic while var_C bird families flew away further south for winter. How many bird families were left near the mountain?,"1. Add the number of new bird families that arrived to the number of bird families that flew away.
2. Subtract the number of bird families that flew away from the number of new bird families to find out how many bird families were left near the mountain.",var_A + var_B - var_C,"def solution(var_A, var_B, var_C):
    new_families = var_B + var_C
    families_left = var_A - new_families
    return families_left","{'var_A': 3.0, 'var_B': 26.0, 'var_C': 2.0}",True,'Code_Result'
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,Addition,450.0,,0.0,450.0,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked var_A cookies yesterday var_B cookies this morning and var_C cookies the day before yesterday. How many cookies did Helen bake till last night?,"1. Add the number of cookies baked yesterday, this morning, and the day before yesterday to find the total number of cookies baked.
2. Subtract the total number of cookies baked from the number of cookies baked this morning to find the number of cookies baked the day before yesterday.",var_A + var_B + var_C - var_A - var_B - var_C,"def solution(var_A, var_B, var_C):
    yesterday = var_A + var_B + var_C
    this_morning = var_A
    yesterday_minus_one = yesterday - var_B
    return yesterday_minus_one","{'var_A': 31.0, 'var_B': 270.0, 'var_C': 419.0}",True,'Code_Result'
"7 red peaches, 15 yellow peaches and 8 green peaches are in the basket. How many peaches are in the basket?",Addition,30.0,,23.0,-8.0,"var_A red peaches, var_B yellow peaches and var_C green peaches are in the basket. How many peaches are in the basket?","1. Add the number of red, yellow, and green peaches together.
2. Subtract the total number of peaches from the number of red peaches to find the number of peaches that are not red.",(var_A + var_B + var_C) - var_A,"def solution(var_A, var_B, var_C):
    total_peaches = var_A + var_B + var_C
    not_red_peaches = var_A - var_B
    return not_red_peaches","{'var_A': 7.0, 'var_B': 15.0, 'var_C': 8.0}",True,'Code_Result'
Paul got a box of some crayons for his birthday. By the end of the school year he had either lost or given away 551 of them and only had 177 left. How many crayons did he get for his birthday?,Addition,728.0,551.0,,551.0,Paul got a box of some crayons for his birthday. By the end of the school year he had either lost or given away var_A of them and only had var_B left. How many crayons did he get for his birthday?,"1. Let's say Paul got x crayons for his birthday.
2. Paul lost or gave away 551 crayons, so he has x - 551 crayons left.
3. He also gave away some crayons, let's say y, so the total number of crayons he has is x - 551 - y.
4. We know that he has 177 crayons left, so we can set up the equation x - 551 - y = 177.",x - 551 - y = 177,"def solution(var_A, var_B):
    return var_A + var_B - 177","{'var_A': 551.0, 'var_B': 177.0}",False,
A grocery store had 22 bottles of regular soda and 61 bottles of diet soda. How many more bottles of diet soda than regular soda did they have?,Subtraction,39.0,39.0,39.0,39.0,A grocery store had var_A bottles of regular soda and var_B bottles of diet soda. How many more bottles of diet soda than regular soda did they have?,1. Subtract the number of bottles of regular soda from the number of bottles of diet soda to find the difference.,(var_B - var_A),"def solution(var_A, var_B):
    return var_B - var_A","{'var_A': 22.0, 'var_B': 61.0}",False,
