Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
There are 4502 skittles in Steven's skittles collection. Steven also has 4276 erasers. If the skittles and erasers are organized into 154 groups How big is each group?,Common-Division,57.0,,57.0,57.0,There are var_A skittles in Steven's skittles collection. Steven also has var_B erasers. If the skittles and erasers are organized into var_C groups How big is each group?,(var_A + var_B) / var_C,"def solution(var_A, var_B, var_C):
    return (var_A + var_B) // var_C","{'var_A': 4502.0, 'var_B': 4276.0, 'var_C': 154.0}",False,
Lucy went to the grocery store. She bought 10 packs of cookie and 4 packs of cake. How many more packs of cookie did she buy over cake?,Subtraction,6.0,6.0,6.0,6.0,Lucy went to the grocery store. She bought var_A packs of cookie and var_B packs of cake. How many more packs of cookie did she buy over cake?,var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B","{'var_A': 10.0, 'var_B': 4.0}",False,
Lawrence county has 313473 kids. During summer break 274865 kids stay home and the rest go to camp. How many kids go to the camp during the break?,Subtraction,38608.0,38608.0,38608.0,38608.0,Lawrence county has var_A kids. During summer break var_B kids stay home and the rest go to camp. How many kids go to the camp during the break?,var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B","{'var_A': 313473.0, 'var_B': 274865.0}",False,
Paco had 40 cookies. He ate 2 of them. Then he bought 37 more cookies How many cookies did Paco have left?,Addition,75.0,75.0,75.0,75.0,Paco had var_A cookies. He ate var_B of them. Then he bought var_C more cookies How many cookies did Paco have left?,var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    return var_A - var_B + var_C","{'var_A': 40.0, 'var_B': 2.0, 'var_C': 37.0}",False,
Edward had $ 18. He spent $ 16. How much money does Edward have now?,Subtraction,2.0,2.0,2.0,2.0,Edward had $ var_A He spent $ var_B How much money does Edward have now?,var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B","{'var_A': 18.0, 'var_B': 16.0}",False,
Paco had 9 sweet cookies and 6 salty cookies. He ate 36 sweet cookies and 3 salty cookies. How many salty cookies did Paco have left?,Subtraction,3.0,3.0,3.0,3.0,Paco had var_A sweet cookies and var_B salty cookies. He ate var_C sweet cookies and var_D salty cookies. How many salty cookies did Paco have left?,var_B - var_D,"def solution(var_A, var_B, var_C, var_D):
    return var_B - var_D","{'var_A': 9.0, 'var_B': 6.0, 'var_C': 36.0, 'var_D': 3.0}",False,
Josh had 20 marbles in his collection. He gave 2 marbles to Jack. How many marbles does Josh have now?,Subtraction,18.0,18.0,18.0,18.0,Josh had var_A marbles in his collection. He gave var_B marbles to Jack. How many marbles does Josh have now?,var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B","{'var_A': 20.0, 'var_B': 2.0}",False,
Mary is baking a cake. The recipe calls for 6 cups of sugar and 9 cups of flour. She already put in 2 cups of flour. How many more cups of flour than cups of sugar does she need to add now?,Subtraction,1.0,1.0,1.0,1.0,Mary is baking a cake. The recipe calls for var_A cups of sugar and var_B cups of flour. She already put in var_C cups of flour. How many more cups of flour than cups of sugar does she need to add now?,(var_B - var_C) - var_A,"def solution(var_A, var_B, var_C):
    needed_flour = var_B - var_C
    return needed_flour - var_A","{'var_A': 6.0, 'var_B': 9.0, 'var_C': 2.0}",False,
Mary is baking a cake. The recipe calls for 11 cups of sugar 6 cups of flour and 9 cups of salt. She already put in 12 cups of flour. How many more cups of sugar than cups of salt does she need to add now?,Subtraction,2.0,2.0,2.0,2.0,Mary is baking a cake. The recipe calls for var_A cups of sugar var_B cups of flour and var_C cups of salt. She already put in var_D cups of flour. How many more cups of sugar than cups of salt does she need to add now?,var_A - var_C,"def solution(var_A, var_B, var_C, var_D):
    remaining_flour = var_B - var_D
    return var_A - var_C","{'var_A': 11.0, 'var_B': 6.0, 'var_C': 9.0, 'var_D': 12.0}",False,
Next on his checklist is wax to stick the feathers together and colors to paint them. He needs a total of 57 g of colors to paint them. He needs 22 g of wax more. If the feathers require a total of 353 g of wax How many grams of wax does he already have?,Subtraction,331.0,331.0,331.0,331.0,Next on his checklist is wax to stick the feathers together and colors to paint them. He needs a total of var_A g of colors to paint them. He needs var_B g of wax more. If the feathers require a total of var_C g of wax How many grams of wax does he already have?,var_C - var_B,"def solution(var_A, var_B, var_C):
    return var_C - var_B","{'var_A': 57.0, 'var_B': 22.0, 'var_C': 353.0}",False,
An industrial machine can make 3 shirts per minute. It made 6 shirts in all. How many minutes was the machine working?,Common-Division,2.0,,2.0,2.0,An industrial machine can make var_A shirts per minute. It made var_B shirts in all. How many minutes was the machine working?,var_B / var_A,"def solution(var_A, var_B):
    return var_B // var_A","{'var_A': 3.0, 'var_B': 6.0}",False,
Paul had 95 pens and 153 books. After selling some books and pens in a garage sale he had 13 books and 23 pens left. How many books did he sell in the garage sale?,Subtraction,140.0,,140.0,,Paul had var_A pens and var_B books. After selling some books and pens in a garage sale he had var_C books and var_D pens left. How many books did he sell in the garage sale?,var_B - var_C,"def solution(var_A, var_B, var_C):
    return var_B - var_C","{'var_A': 95.0, 'var_B': 153.0, 'var_C': 13.0, 'var_D': 23.0}",False,
Adam has 10 apples. Jackie has 2 apples. How many more apples does Adam have than Jackie?,Subtraction,8.0,8.0,8.0,8.0,Adam has var_A apples. Jackie has var_B apples. How many more apples does Adam have than Jackie?,var_A - var_B,"def solution(var_A, var_B):
    return var_A - var_B","{'var_A': 10.0, 'var_B': 2.0}",False,
Baker made some cakes. He sold 145 of them. If he still has 72 cakes left How many cakes did baker make?,Addition,217.0,217.0,217.0,217.0,Baker made some cakes. He sold var_A of them. If he still has var_B cakes left How many cakes did baker make?,var_A + var_B,"def solution(var_A, var_B):
    return var_A + var_B","{'var_A': 145.0, 'var_B': 72.0}",False,
Jake has 6 fewer peaches than Steven. Steven has 18 more peaches than Jill. If jill has 5 peaches How many peaches does Jake have?,Subtraction,17.0,17.0,17.0,17.0,Jake has var_A fewer peaches than Steven. Steven has var_B more peaches than Jill. If jill has var_C peaches How many peaches does Jake have?,var_C + var_B - var_A,"def solution(var_A, var_B, var_C):
    return var_C + var_B - var_A","{'var_A': 6.0, 'var_B': 18.0, 'var_C': 5.0}",False,
If they are already at 659 feet and the cave is 762 feet deep How much farther until they reach the end of the cave?,Subtraction,103.0,103.0,103.0,103.0,If they are already at var_A feet and the cave is var_B feet deep How much farther until they reach the end of the cave?,var_B - var_A,"def solution(var_A, var_B):
    return var_B - var_A","{'var_A': 659.0, 'var_B': 762.0}",False,
He then went to see the oranges being harvested. He found out that they harvest 25 sacks of unripe oranges and 5 sacks of ripe oranges per day. How many sacks of ripe oranges will they have after 73 days of harvest?,Multiplication,365.0,365.0,365.0,365.0,He then went to see the oranges being harvested. He found out that they harvest var_A sacks of unripe oranges and var_B sacks of ripe oranges per day. How many sacks of ripe oranges will they have after var_C days of harvest?,var_B * var_C,"def solution(var_A, var_B, var_C):
    return var_B * var_C","{'var_A': 25.0, 'var_B': 5.0, 'var_C': 73.0}",False,
Rebecca wants to split a collection of eggs into groups of 3. Rebecca has 99 bananas 9 eggs and 27 marbles. How many groups will be created?,Common-Division,3.0,,3.0,,Rebecca wants to split a collection of eggs into groups of var_A Rebecca has var_B bananas var_C eggs and var_D marbles. How many groups will be created?,var_C // var_A,"def solution(var_C, var_A):
    return var_C // var_A","{'var_A': 3.0, 'var_B': 99.0, 'var_C': 9.0, 'var_D': 27.0}",False,
