Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Rough Solution,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
A patient's blood pressure reduces from 140/90 to 120/80 mmHg. What is the percentage reduction in systolic pressure?,Cardiovascular Medicine,14.3,3.5714285714285725,3.5714285714285725,3.5714285714285725,A patient's blood pressure reduces from var_A / var_B to var_C / var_D mmHg. What is the percentage reduction in systolic pressure?,"1. Identify the initial systolic pressure and the final systolic pressure from the given blood pressure readings.
2. Use the formula for percentage reduction: 
   \[
   \text{Percentage Reduction} = \left( \frac{\text{Initial Value} - \text{Final Value}}{\text{Initial Value}} \right) \times 100
   \]
3. Substitute the initial systolic pressure and the final systolic pressure into the formula.
4. Calculate the difference between the initial and final systolic pressures.
5. Divide the difference by the initial systolic pressure.
6. Multiply the result by 100 to find the percentage reduction.",((var_A / var_B - var_C / var_D) / (var_A / var_B)) * 100,"def solution(var_A, var_B, var_C, var_D):
    initial_pressure = var_A / var_B
    final_pressure = var_C / var_D
    percentage_reduction = ((initial_pressure - final_pressure) / initial_pressure) * 100
    return percentage_reduction","{'var_A': 140.0, 'var_B': 90.0, 'var_C': 120.0, 'var_D': 80.0}",False,
"The gravitational field strength on Earth's surface is approximately 9.8 N/kg. For a mass of 5 kg, What is the weight in Newtons?",Weight Calculation,49.0,49.0,49.0,49.0,"The gravitational field strength on Earth's surface is approximately var_A N / kg. For a mass of var_B kg, What is the weight in Newtons?","1. Identify the formula for weight, which is given by the equation: Weight = Mass × Gravitational Field Strength.
2. Substitute the known values into the formula: Use the mass of 5 kg and the gravitational field strength of 9.8 N/kg.
3. Perform the multiplication to calculate the weight in Newtons.
4. State the final result as the weight in Newtons.",var_A * var_B,"def solution(var_A, var_B):
    weight = var_A * var_B
    return weight","{'var_A': 9.8, 'var_B': 5.0}",False,
"An item costs $50, but a discount of 10% is applied. What is the price after discount?",Percentage,45.0,,,,An item costs $ var_A but a discount of var_B % is applied. What is the price after discount?,"1. Identify the original price of the item and the discount percentage.
2. Calculate the amount of the discount by using the formula: Discount Amount = Original Price × Discount Percentage.
3. Subtract the discount amount from the original price to find the price after discount: Price After Discount = Original Price - Discount Amount.
4. Ensure that the final price is expressed in the appropriate currency format.",var_A - (var_A * (var_B / 100)),"def solution(var_A, var_B):
    discount_amount = var_A * (var_B / 100)
    price_after_discount = var_A - discount_amount
    return f""${price_after_discount:.2f}""","{'var_A': 50.0, 'var_B': 10.0}",True,could not convert string to float: '$-24.42'
"The efficiency of a heat engine is 30%. If it does 300 J of work, How much heat does it absorb from the hot reservoir?",Heat Engine Efficiency,1000.0,1000.0,1000.0,1000.0,"The efficiency of a heat engine is var_A %. If it does var_B J of work, How much heat does it absorb from the hot reservoir?","1. Recall the formula for the efficiency of a heat engine, which is given by the ratio of work output to heat absorbed from the hot reservoir: Efficiency = Work Output / Heat Absorbed.

2. Rearrange the efficiency formula to solve for the heat absorbed from the hot reservoir: Heat Absorbed = Work Output / Efficiency.

3. Substitute the known values into the rearranged formula: Use the given work output and the efficiency to calculate the heat absorbed.

4. Perform the calculation to find the amount of heat absorbed from the hot reservoir.",var_B / (var_A / 100),"def solution(var_A, var_B):
    efficiency = var_A / 100
    heat_absorbed = var_B / efficiency
    return heat_absorbed","{'var_A': 30.0, 'var_B': 300.0}",False,
"The atomic mass of carbon is 12 amu. In a sample of 24 grams of carbon, How many moles are present?",Mole Calculation,2.0,,2.0,2.0,"The atomic mass of carbon is var_A amu. In a sample of var_B grams of carbon, How many moles are present?","1. Recall the formula for calculating moles: Moles = Mass (grams) / Molar Mass (grams/mole).
2. Identify the molar mass of carbon, which is given as 12 amu (atomic mass units) and can be converted to grams/mole.
3. Substitute the mass of the carbon sample into the formula for moles.
4. Perform the division to find the number of moles present in the sample.",var_B / var_A,"def solution(var_A, var_B):
    molar_mass = 12  # Molar mass of carbon in grams/mole
    moles = var_B / molar_mass
    return moles","{'var_A': 12.0, 'var_B': 24.0}",True,'Code_Result'
The pH of a solution is 9. What is the pOH of the solution?,pH and pOH,5.0,5.0,5.0,5.0,The pH of a solution is var_A What is the pOH of the solution?,"1. Recall the relationship between pH and pOH, which is given by the formula: pH + pOH = 14.
2. Substitute the given pH value into the formula.
3. Rearrange the equation to solve for pOH.
4. Perform the arithmetic operation to find the value of pOH.",14 - var_A,"def solution(var_A):
    pOH = 14 - var_A
    return pOH",{'var_A': 9.0},False,
"A pendulum has a period of 2 seconds. On a planet where g = 1.62 m/s², What is the length of the pendulum in meters?",Pendulum Motion,0.26,0.16414031750058722,0.16414059478772852,0.16414031750058722,"A pendulum has a period of var_A seconds. On a planet where g = var_B m / s², What is the length of the pendulum in meters?","To find the length of the pendulum given its period and the acceleration due to gravity on a different planet, follow these steps:

1. **Identify the formula for the period of a pendulum**: The period \( T \) of a simple pendulum is given by the formula \( T = 2\pi \sqrt{\frac{L}{g}} \), where \( L \) is the length of the pendulum and \( g \) is the acceleration due to gravity.

2. **Rearrange the formula to solve for length \( L \)**: Isolate \( L \) in the formula by squaring both sides and rearranging the equation.

3. **Substitute the known values**: Plug in the given period and the value of \( g \) for the planet into the rearranged formula.

4. **Calculate the length \( L \)**: Perform the necessary calculations to find the length of the pendulum in meters.

5. **Check the units",(var_A**2 * var_B) / (4 * 3.14159**2),"def solution(var_A, var_B):
    import math
    L = (var_A / (2 * math.pi))**2 * var_B
    return L","{'var_A': 2.0, 'var_B': 1.62}",False,
A car travels at 60 km/h for 2 hours. What distance does it cover in meters?,Distance Calculation,120000.0,120000.0,120000.0,120000.0,A car travels at var_A km / h for var_B hours. What distance does it cover in meters?,"1. Identify the speed of the car in kilometers per hour (km/h) and the time traveled in hours.
2. Use the formula for distance: Distance = Speed × Time.
3. Substitute the known values of speed and time into the distance formula.
4. Convert the distance from kilometers to meters by using the conversion factor (1 km = 1000 meters).
5. Calculate the final distance in meters.",var_A * var_B * 1000,"def solution(var_A, var_B):
    distance_km = var_A * var_B
    distance_m = distance_km * 1000
    return distance_m","{'var_A': 60.0, 'var_B': 2.0}",False,
A thermal expansion coefficient is 2e-5 K⁻¹ for a metal rod. How much does a 1-meter rod expand when heated from 20°C to 120°C?,Material Science,0.002,,,,A thermal expansion coefficient is var_A e - var_B K⁻¹ for a metal rod. How much does a var_C - meter rod expand when heated from var_D °C to var_E °C?,"1. Identify the formula for linear thermal expansion, which is:  
   \[ \Delta L = L_0 \cdot \alpha \cdot \Delta T \]  
   where \( \Delta L \) is the change in length, \( L_0 \) is the original length, \( \alpha \) is the thermal expansion coefficient, and \( \Delta T \) is the change in temperature.

2. Determine the original length of the rod, which is given as 1 meter.

3. Calculate the change in temperature (\( \Delta T \)) by subtracting the initial temperature from the final temperature.

4. Substitute the known values into the thermal expansion formula:  
   - Use the original length (1 meter), the thermal expansion coefficient (2e-5 K⁻¹), and the calculated change in temperature.

5. Perform the multiplication to find the change in length (\( \Delta L \)). 

6. Interpret the result to understand",var_C * var_A * e * (var_E - var_D),"def solution(var_A, var_B, var_C, var_D, var_E):
    L0 = var_C
    alpha = var_A * 1e-5
    delta_T = var_E - var_D
    delta_L = L0 * alpha * delta_T
    return delta_L","{'var_A': 2.0, 'var_B': 5.0, 'var_C': 1.0, 'var_D': 20.0, 'var_E': 120.0}",True,"float() argument must be a string or a real number, not 'NoneType'"
"The speed of sound in air is 343 m/s. If an echo returns after 2 seconds, How far away is the reflecting surface?",Wave Motion,343.0,343.0,343.0,343.0,"The speed of sound in air is var_A m / s. If an echo returns after var_B seconds, How far away is the reflecting surface?","1. Understand that the time given is the total time for the sound to travel to the reflecting surface and back, so the time to reach the surface is half of the total time.

2. Use the formula for distance, which is Distance = Speed × Time.

3. Calculate the time taken to reach the reflecting surface by dividing the total time by 2.

4. Substitute the speed of sound in air and the calculated time into the distance formula to find the distance to the reflecting surface.

5. Conclude that the distance to the reflecting surface is half the total distance traveled by the sound.",var_A * (var_B / 2),"def solution(var_A, var_B):
    time_to_surface = var_B / 2
    distance = var_A * time_to_surface
    return distance","{'var_A': 343.0, 'var_B': 2.0}",False,
