Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Rough Solution,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
Faye was placing her pencils into rows with 22 pencils in each row. She had 6 packs of pencils each one having 14 pencils. How many pencils does she have?,Multiplication,84.0,,,,Faye was placing her pencils into rows with var_A pencils in each row. She had var_B packs of pencils each one having var_C pencils. How many pencils does she have?,"Here are the rough steps to solve the problem:

1. Calculate the total number of pencils Faye has by multiplying the number of packs by the number of pencils in each pack.
2. Since Faye has 6 packs of pencils, multiply 6 by 14 to find the total number of pencils.
3. The result of the multiplication will give us the total number of pencils Faye has.

Answer: 6 x 14 = 84",6 * 14 = 84,"def solution(var_A, var_B, var_C):
    return 6 * var_B * var_C","{'var_A': 22.0, 'var_B': 6.0, 'var_C': 14.0}",True,"must be real number, not NoneType"
Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,Addition,91.0,,,,Danny collects bottle caps. He lost var_A bottle caps at the park. Now he has var_B bottle caps in his collection. How many bottle caps did danny have at first?,"Here are the rough steps to solve the problem:

1. Let's say Danny had x bottle caps initially.
2. We know that he lost 66 bottle caps at the park.
3. After losing 66 bottle caps, Danny has 25 bottle caps left.
4. To find the initial number of bottle caps, we need to add the number of lost caps to the number of caps he has left.
5. So, the equation will be: x + 66 = 25
6. To solve for x, we need to isolate the variable x.
7. We can do this by subtracting 66 from both sides of the equation.
8. This will give us: x = 25 - 66
9. Simplifying the equation, we get: x = -41
10. However, we know that the number of bottle caps cannot be negative, so we need to find the correct solution.
11. Let's try to find the correct solution by adding",x + 66 + 25 = 25 + 66,"def solution(var_A, var_B):
    return var_A + var_B - 66","{'var_A': 66.0, 'var_B': 25.0}",True,"must be real number, not NoneType"
Danny collects bottle caps and wrappers. He found 65 wrappers and 5 bottle caps at the park. Now he has 31 bottle caps and 9 wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,Subtraction,60.0,,60.0,60.0,Danny collects bottle caps and wrappers. He found var_A wrappers and var_B bottle caps at the park. Now he has var_C bottle caps and var_D wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,"To find the difference between the number of wrappers and bottle caps found by Danny, we need to follow these steps:

1. Start with the number of bottle caps Danny found: 31
2. Start with the number of wrappers Danny found: 9
3. Subtract the number of bottle caps from the number of wrappers: 9 - 31 = -22
4. Since we are looking for the difference, we can ignore the negative sign and consider the absolute difference: 22

So, Danny found 22 more wrappers than bottle caps at the park.",var_A - var_B,"def solution(var_A, var_B, var_C, var_D):
    return abs(var_B - var_A)","{'var_A': 65.0, 'var_B': 5.0, 'var_C': 31.0, 'var_D': 9.0}",True,'Code_Result'
The ring toss game at the carnival made 144 dollars per day. They were at the carnival for 22 days. How much money did they make?,Multiplication,3168.0,3168,3168.0,3168.0,The ring toss game at the carnival made var_A dollars per day. They were at the carnival for var_B days. How much money did they make?,"Here are the rough steps to solve the problem:

1. Let's say the carnival was run by 1 ring toss game.
2. The ring toss game made 144 dollars per day.
3. The carnival was at the carnival for 22 days.
4. To find the total amount of money made, we need to multiply the number of days by the amount made per day.
5. So, the total amount of money made is 144 x 22 = 3168.",var_A * var_B,"def solution(var_A, var_B):
    return var_A * var_B","{'var_A': 144.0, 'var_B': 22.0}",False,
The school is planning a field trip. The school has 72 classrooms. There are 3 seats on each school bus. If there are a total of 111 students in the school How many buses are needed to take the trip?,Common-Division,37.0,,111.0,24.0,The school is planning a field trip. The school has var_A classrooms. There are var_B seats on each school bus. If there are a total of var_C students in the school How many buses are needed to take the trip?,"To find the number of buses needed, we can follow these steps:

1. Divide the total number of students (111) by the number of seats on each bus (3) to find the number of buses needed. 
2. The result of this division will be the number of buses needed.

Let's do the math:

111 ÷ 3 = 37

So, the school needs 37 buses to take the trip.",37 * var_B,"def solution(var_A, var_B, var_C):
    return var_A // 3","{'var_A': 72.0, 'var_B': 3.0, 'var_C': 111.0}",True,'Code_Result'
Winter is almost here and most animals are migrating to warmer countries. There are 3 bird families living near the mountain. 26 new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. How many bird families were left near the mountain?,Addition,27.0,,,,Winter is almost here and most animals are migrating to warmer countries. There are var_A bird families living near the mountain. var_B new bird families came to live near the mountain from the arctic while var_C bird families flew away further south for winter. How many bird families were left near the mountain?,"Here are the rough steps to solve the problem:

1. Let's start by identifying the known variables:
   - Total number of bird families initially living near the mountain = 26
   - Number of bird families that flew away = 2
   - Number of bird families that migrated to warmer countries = 3

2. We can start by adding the number of bird families that flew away and the number of bird families that migrated to warmer countries. This will give us the total number of bird families that left the mountain.

3. To find the number of bird families that remained near the mountain, we can subtract the number of bird families that left from the total number of bird families initially living near the mountain.

4. Let's calculate the total number of bird families that left the mountain:
   26 (initial bird families) + 3 (bird families that migrated) = 29

5. Now, let's subtract the number of bird families that left from the initial number","var_A = 26
var_B = 3
var_C = 2
result = var_A + var_B - var_C","def solution(var_A, var_B, var_C):
    return var_A + var_B - var_C","{'var_A': 3.0, 'var_B': 26.0, 'var_C': 2.0}",True,"must be real number, not NoneType"
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,Addition,450.0,,,,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked var_A cookies yesterday var_B cookies this morning and var_C cookies the day before yesterday. How many cookies did Helen bake till last night?,"Here are the rough steps to solve the problem:

1. Let's start by adding the number of cookies baked yesterday, this morning, and the day before yesterday. 
2. We know that Helen baked 31 cookies yesterday, 270 cookies this morning, and 419 cookies the day before yesterday. We can add these numbers together to find the total number of cookies baked till last night.
3. To do this, we need to find the total number of cookies baked in the three days. We can do this by adding the number of cookies baked each day: 
   31 + 270 + 419 = 700
4. Now, we know that Helen baked 700 cookies till last night.","var_A = 31
var_B = 270
var_C = 419
total_cookies = var_A + var_B + var_C","def solution(var_A, var_B, var_C):
    total_cookies = var_A + var_B + var_C
    return total_cookies","{'var_A': 31.0, 'var_B': 270.0, 'var_C': 419.0}",True,"must be real number, not NoneType"
"7 red peaches, 15 yellow peaches and 8 green peaches are in the basket. How many peaches are in the basket?",Addition,30.0,30,30.0,30.0,"var_A red peaches, var_B yellow peaches and var_C green peaches are in the basket. How many peaches are in the basket?","To find the total number of peaches in the basket, we can use the following steps:

1. Add the number of red peaches to the number of yellow peaches.
2. Add the number of yellow peaches to the result from step 1.
3. Add the number of green peaches to the result from step 2.

Here's the solution:

1. 7 (red peaches) + 15 (yellow peaches) = 22
2. 22 + 15 (yellow peaches) = 37
3. 37 + 8 (green peaches) = 45

The total number of peaches in the basket is 45.",var_A + var_B + var_C,"def solution(var_A, var_B, var_C):
    return var_A + var_B + var_C","{'var_A': 7.0, 'var_B': 15.0, 'var_C': 8.0}",False,
Paul got a box of some crayons for his birthday. By the end of the school year he had either lost or given away 551 of them and only had 177 left. How many crayons did he get for his birthday?,Addition,728.0,,,,Paul got a box of some crayons for his birthday. By the end of the school year he had either lost or given away var_A of them and only had var_B left. How many crayons did he get for his birthday?,"To solve this problem, we can use the concept of ""lost"" and ""given away"" as a shortcut. 

Let's say Paul received x crayons for his birthday. He then lost or gave away 551 crayons. This means that the number of crayons he has left is equal to the number of crayons he received minus the number of crayons he lost or gave away.

We can set up the equation:

x - 551 = 177

To solve for x, we can add 551 to both sides of the equation:

x = 177 + 551
x = 728

So, Paul received 728 crayons for his birthday.",var_A = 728,"def solution(var_A, var_B):
    return var_A + var_B - 551","{'var_A': 551.0, 'var_B': 177.0}",True,"must be real number, not NoneType"
A grocery store had 22 bottles of regular soda and 61 bottles of diet soda. How many more bottles of diet soda than regular soda did they have?,Subtraction,39.0,,,,A grocery store had var_A bottles of regular soda and var_B bottles of diet soda. How many more bottles of diet soda than regular soda did they have?,"Here are the rough steps to solve the problem:

1. Let's say the number of bottles of regular soda is x and the number of bottles of diet soda is y.
2. We know that x + y = 22 (the total number of bottles of regular soda)
3. We also know that y = 61 (the total number of bottles of diet soda)
4. To find the difference between the number of bottles of diet soda and regular soda, we need to subtract the number of bottles of regular soda from the number of bottles of diet soda.
5. This can be written as: y - x =?

Since we know y = 61 and x = 22, we can plug these values into the equation to get: 61 - 22 =?

6. This simplifies to: 39",61 - 22 = 39,"def solution(var_A, var_B):
    return var_B - var_A","{'var_A': 22.0, 'var_B': 61.0}",True,"must be real number, not NoneType"
