Question,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
" A florist had 6 roses. If she sold 5 of them and then later picked 12 more, how many roses would she have? ",13,13,13.0,13.0,"A florist had var_A roses. If she sold var_B of them and then later picked var_C more, how many roses would she have?",var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    return var_A - var_B + var_C","{'var_A': 6.0, 'var_B': 5.0, 'var_C': 12.0}",False,
" A painter needed to paint 12 rooms in a building. Each room takes 7 hours to paint. If he already painted 5 rooms, how much longer will he take to paint the rest? ",49,49,49.0,49.0,"A painter needed to paint var_A rooms in a building. Each room takes var_B hours to paint. If he already painted var_C rooms, how much longer will he take to paint the rest?",(var_A - var_C) * var_B,"def solution(var_A, var_B, var_C):
    remaining_rooms = var_A - var_C
    return remaining_rooms * var_B","{'var_A': 12.0, 'var_B': 7.0, 'var_C': 5.0}",False,
" Chloe baked 7 brownies, but needed 16 total for her party. If she used 6 cups of flour on each one, how much cups of flour does she still need? ",54,54,54.0,54.0,"Chloe baked var_A brownies, but needed var_B total for her party. If she used var_C cups of flour on each one, how much cups of flour does she still need?",(var_B - var_A) * var_C,"def solution(var_A, var_B, var_C):
    total_flour_needed = var_B * var_C
    flour_used = var_A * var_C
    return total_flour_needed - flour_used","{'var_A': 7.0, 'var_B': 16.0, 'var_C': 6.0}",False,
" George had 28 socks. If he threw away 4 old ones that didn't fit and bought 36 new ones, how many socks would he have? ",60,60,60.0,60.0,"George had var_A socks. If he threw away var_B old ones that didn't fit and bought var_C new ones, how many socks would he have?",var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    return var_A - var_B + var_C","{'var_A': 28.0, 'var_B': 4.0, 'var_C': 36.0}",False,
" There school's baseball team had 31 new players and 4 returning players. If the coach put them into groups with 7 players in each group, how many groups would there be? ",5,5,5.0,5.0,"There school's baseball team had var_A new players and var_B returning players. If the coach put them into groups with var_C players in each group, how many groups would there be?",(var_A + var_B) // var_C,"def solution(var_A, var_B, var_C):
    total_players = var_A + var_B
    return total_players // var_C","{'var_A': 31.0, 'var_B': 4.0, 'var_C': 7.0}",False,
" At the fair Adam bought 10 tickets. After riding the ferris wheel he had 3 tickets left. If each ticket cost 9 dollars, how much money did Adam spend riding the ferris wheel? ",63,63,63.0,63.0,"At the fair Adam bought var_A tickets. After riding the ferris wheel he had var_B tickets left. If each ticket cost var_C dollars, how much money did Adam spend riding the ferris wheel?",(var_A - var_B) * var_C,"def solution(var_A, var_B, var_C):
    return (var_A - var_B) * var_C","{'var_A': 10.0, 'var_B': 3.0, 'var_C': 9.0}",False,
" Sarah's old washing machine could only wash 5 pieces of clothing at a time. If she had to wash 43 shirts and 2 sweaters how many loads would she have to do? ",9,,9.0,9.0,Sarah's old washing machine could only wash var_A pieces of clothing at a time. If she had to wash var_B shirts and var_C sweaters how many loads would she have to do?,( var_B + var_C ) / var_A,"def solution(var_A, var_B, var_C):
    total_clothing = var_B + var_C
    return (total_clothing + var_A - 1) // var_A","{'var_A': 5.0, 'var_B': 43.0, 'var_C': 2.0}",False,
" Mike made 42 dollars mowing lawns over the summer. If he spent 10 dollars buying new mower blades, how many 8 dollar games could he buy with the money he had left? ",4,4,4.0,4.0,"Mike made var_A dollars mowing lawns over the summer. If he spent var_B dollars buying new mower blades, how many var_C dollar games could he buy with the money he had left?",(var_A - var_B) / var_C,"def solution(var_A, var_B, var_C):
    return (var_A - var_B) // var_C","{'var_A': 42.0, 'var_B': 10.0, 'var_C': 8.0}",False,
" At a restaurant each adult meal costs $2 and kids eat free. If a group of 9 people came in and 2 were kids, how much would it cost for the group to eat? ",14,14,14.0,14.0,"At a restaurant each adult meal costs $ var_A and kids eat free. If a group of var_B people came in and var_C were kids, how much would it cost for the group to eat?",(var_B - var_C) * var_A,"def solution(var_A, var_B, var_C):
    return (var_B - var_C) * var_A","{'var_A': 2.0, 'var_B': 9.0, 'var_C': 2.0}",False,
" Emily was planting vegetables in her garden. She started with 41 seeds and planted 29 of them in the big garden and in each of her small gardens put 4 seeds each. How many small gardens did Emily have? ",3,3,3.0,3.0,Emily was planting vegetables in her garden. She started with var_A seeds and planted var_B of them in the big garden and in each of her small gardens put var_C seeds each. How many small gardens did Emily have?,(var_A - var_B) / var_C,"def solution(var_A, var_B, var_C):
    return (var_A - var_B) // var_C","{'var_A': 41.0, 'var_B': 29.0, 'var_C': 4.0}",False,
" Luke made 9 dollars mowing lawns and 18 dollars weed eating. If he only spent 3 dollar a week, how long would the money last him? ",9,9,9.0,9.0,"Luke made var_A dollars mowing lawns and var_B dollars weed eating. If he only spent var_C dollar a week, how long would the money last him?",(var_A + var_B) / var_C,"def solution(var_A, var_B, var_C):
    total_money = var_A + var_B
    return total_money // var_C","{'var_A': 9.0, 'var_B': 18.0, 'var_C': 3.0}",False,
" John made 6 dollars mowing lawns and 18 dollars weed eating. If he only spent 3 dollar a week, how long would the money last him? ",8,8,8.0,8.0,"John made var_A dollars mowing lawns and var_B dollars weed eating. If he only spent var_C dollar a week, how long would the money last him?",(var_A + var_B) / var_C,"def solution(var_A, var_B, var_C):
    total_money = var_A + var_B
    return total_money // var_C","{'var_A': 6.0, 'var_B': 18.0, 'var_C': 3.0}",False,
" A worksheet had 2 problems on it. If a teacher had 14 worksheets to grade and had already graded 7 of them, how many more problems does she have to grade? ",14,14,14.0,14.0,"A worksheet had var_A problems on it. If a teacher had var_B worksheets to grade and had already graded var_C of them, how many more problems does she have to grade?",(var_B - var_C) * var_A,"def solution(var_A, var_B, var_C):
    return (var_B - var_C) * var_A","{'var_A': 2.0, 'var_B': 14.0, 'var_C': 7.0}",False,
" A waiter at 'The Greasy Spoon' restaurant had 29 customers to wait on. During the lunch rush he added another 20 customers. If 34 of the customers didn't leave him a tip, how many customers did leave a tip? ",15,15,15.0,15.0,"A waiter at 'The Greasy Spoon' restaurant had var_A customers to wait on. During the lunch rush he added another var_B customers. If var_C of the customers didn't leave him a tip, how many customers did leave a tip?",(var_A + var_B) - var_C,"def solution(var_A, var_B, var_C):
    return (var_A + var_B) - var_C","{'var_A': 29.0, 'var_B': 20.0, 'var_C': 34.0}",False,
