Question,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Rough Solution,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
" A florist had 6 roses. If she sold 5 of them and then later picked 12 more, how many roses would she have? ",13,13,13.0,13.0,"A florist had var_A roses. If she sold var_B of them and then later picked var_C more, how many roses would she have?","1. Subtract the number of roses sold from the initial number of roses to find out how many roses are left.
2. Add the number of roses picked to the remaining roses to find the total number of roses the florist has now.",var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    remaining_roses = var_A - var_B
    total_roses = remaining_roses + var_C
    return total_roses","{'var_A': 6.0, 'var_B': 5.0, 'var_C': 12.0}",False,
" A painter needed to paint 12 rooms in a building. Each room takes 7 hours to paint. If he already painted 5 rooms, how much longer will he take to paint the rest? ",49,49,49.0,49.0,"A painter needed to paint var_A rooms in a building. Each room takes var_B hours to paint. If he already painted var_C rooms, how much longer will he take to paint the rest?","1. Calculate the total time required to paint all 12 rooms by multiplying the number of rooms by the time taken for each room.
2. Determine how many rooms are left to paint by subtracting the number of rooms already painted from the total number of rooms.
3. Multiply the number of remaining rooms by the time taken for each room to find out how much longer the painter will take to finish.",(var_A - var_C) * var_B,"def solution(var_A, var_B, var_C):
    total_time = var_A * var_B
    remaining_rooms = var_A - var_C
    return remaining_rooms * var_B","{'var_A': 12.0, 'var_B': 7.0, 'var_C': 5.0}",False,
" Chloe baked 7 brownies, but needed 16 total for her party. If she used 6 cups of flour on each one, how much cups of flour does she still need? ",54,54,54.0,54.0,"Chloe baked var_A brownies, but needed var_B total for her party. If she used var_C cups of flour on each one, how much cups of flour does she still need?","1. Subtract the number of brownies Chloe baked from the total number of brownies needed to find out how many more brownies she needs to make.
2. Multiply the number of additional brownies needed by the number of cups of flour used for each brownie to find out how many cups of flour she still needs.",(var_B - var_A) * var_C,"def solution(var_A, var_B, var_C):
    additional_brownies = var_B - var_A
    return additional_brownies * var_C","{'var_A': 7.0, 'var_B': 16.0, 'var_C': 6.0}",False,
" George had 28 socks. If he threw away 4 old ones that didn't fit and bought 36 new ones, how many socks would he have? ",60,60,60.0,60.0,"George had var_A socks. If he threw away var_B old ones that didn't fit and bought var_C new ones, how many socks would he have?","1. Subtract the number of old socks thrown away from the total number of socks George initially had.
2. Add the number of new socks bought to the remaining socks after throwing away the old ones to find the total number of socks George has now.",var_A - var_B + var_C,"def solution(var_A, var_B, var_C):
    return (var_A - var_B) + var_C","{'var_A': 28.0, 'var_B': 4.0, 'var_C': 36.0}",False,
" There school's baseball team had 31 new players and 4 returning players. If the coach put them into groups with 7 players in each group, how many groups would there be? ",5,,,,"There school's baseball team had var_A new players and var_B returning players. If the coach put them into groups with var_C players in each group, how many groups would there be?","1. Add the number of new players to the number of returning players to find the total number of players on the team.
2. Divide the total number of players by the number of players in each group to determine how many groups can be formed.
3. If necessary, round up to account for any remaining players that do not fill a complete group.",(math.ceil((var_A + var_B) / var_C)),"def solution(var_A, var_B, var_C):
    total_players = var_A + var_B
    groups = total_players / var_C
    return int(groups) + (1 if total_players % var_C > 0 else 0)","{'var_A': 31.0, 'var_B': 4.0, 'var_C': 7.0}",True,"must be real number, not NoneType"
" At the fair Adam bought 10 tickets. After riding the ferris wheel he had 3 tickets left. If each ticket cost 9 dollars, how much money did Adam spend riding the ferris wheel? ",63,63,63.0,63.0,"At the fair Adam bought var_A tickets. After riding the ferris wheel he had var_B tickets left. If each ticket cost var_C dollars, how much money did Adam spend riding the ferris wheel?","1. Subtract the number of tickets Adam had left from the total number of tickets he bought to find out how many tickets he used on the ferris wheel.
2. Multiply the number of tickets used by the cost of each ticket to find out how much money Adam spent riding the ferris wheel.",(var_A - var_B) * var_C,"def solution(var_A, var_B, var_C):
    tickets_used = var_A - var_B
    return tickets_used * var_C","{'var_A': 10.0, 'var_B': 3.0, 'var_C': 9.0}",False,
 Sarah's old washing machine could only wash 5 pieces of clothing at a time. If she had to wash 43 shirts and 2 sweaters how many loads would she have to do? ,9,,,,Sarah's old washing machine could only wash var_A pieces of clothing at a time. If she had to wash var_B shirts and var_C sweaters how many loads would she have to do?,"1. Calculate the total number of pieces of clothing by adding the number of shirts and sweaters together.
2. Divide the total number of pieces of clothing by the capacity of the washing machine (5 pieces) to determine how many loads are needed.
3. If the division does not result in a whole number, round up to account for any remaining pieces that would require an additional load.",(math.ceil((var_B + var_C) / var_A)),"def solution(var_A, var_B, var_C):
    total_clothing = var_B + var_C
    loads = total_clothing / var_A
    return int(loads) + (loads % 1 > 0)","{'var_A': 5.0, 'var_B': 43.0, 'var_C': 2.0}",True,"must be real number, not NoneType"
" Mike made 42 dollars mowing lawns over the summer. If he spent 10 dollars buying new mower blades, how many 8 dollar games could he buy with the money he had left? ",4,4,4.0,4.0,"Mike made var_A dollars mowing lawns over the summer. If he spent var_B dollars buying new mower blades, how many var_C dollar games could he buy with the money he had left?","1. Subtract the amount spent on mower blades from the total money earned to find out how much money Mike has left.
2. Divide the remaining amount of money by the cost of each game to determine how many games he can buy.",(var_A - var_B) // var_C,"def solution(var_A, var_B, var_C):
    remaining_money = var_A - var_B
    return remaining_money // var_C","{'var_A': 42.0, 'var_B': 10.0, 'var_C': 8.0}",False,
" At a restaurant each adult meal costs $2 and kids eat free. If a group of 9 people came in and 2 were kids, how much would it cost for the group to eat? ",14,14,14.0,14.0,"At a restaurant each adult meal costs $ var_A and kids eat free. If a group of var_B people came in and var_C were kids, how much would it cost for the group to eat?","1. Subtract the number of kids (2) from the total number of people (9) to find the number of adults.
2. Multiply the number of adults by the cost of each adult meal ($2) to find the total cost for the group to eat.",(var_B - var_C) * var_A,"def solution(var_A, var_B, var_C):
    adults = var_B - var_C
    total_cost = adults * var_A
    return total_cost","{'var_A': 2.0, 'var_B': 9.0, 'var_C': 2.0}",False,
 Emily was planting vegetables in her garden. She started with 41 seeds and planted 29 of them in the big garden and in each of her small gardens put 4 seeds each. How many small gardens did Emily have? ,3,3,3.0,3.0,Emily was planting vegetables in her garden. She started with var_A seeds and planted var_B of them in the big garden and in each of her small gardens put var_C seeds each. How many small gardens did Emily have?,"1. Subtract the number of seeds planted in the big garden from the total number of seeds to find out how many seeds were planted in the small gardens.
2. Divide the number of seeds planted in the small gardens by the number of seeds planted in each small garden to determine how many small gardens Emily had.",(var_A - var_B) // var_C,"def solution(var_A, var_B, var_C):
    small_garden_seeds = var_A - var_B
    return small_garden_seeds // var_C","{'var_A': 41.0, 'var_B': 29.0, 'var_C': 4.0}",False,
